,alumnus,organisation,place,country
0,Daniel Lorenz Salthenius,University of Königsberg,Kaliningrad,Russia
1,Magnus Martensson,University at Buffalo,New York,United States of America
2,Bernhard Schmidt,Hamburg-Bergedorf Observatory,Bergedorf,Germany
3,Bernhard Schmidt,Hamburg-Bergedorf Observatory,Bergedorf,Germany
4,Svante Pääbo,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany
5,Gustav Nyström,EMPA,canton of Zürich,Switzerland
6,Gustav Nyström,EMPA,Dübendorf,Switzerland
7,Sven Kristensson,German Archaeological Institute,Berlin,Germany
8,Jonathan Chico,Forschungszentrum Jülich,Jülich,Germany
9,Ashis Biswas,University of Bayreuth,Bayreuth,Germany
10,Dipti Halder,University of Bayreuth,Bayreuth,Germany
11,Marin Jovanovic,Copenhagen Business School,Copenhagen Municipality,Denmark
12,Anna K Swan,Oak Ridge National Laboratory,Oak Ridge,United States of America
13,PerMagnus Lindborg,Nanyang Technological University,Singapore,Singapore
14,Sara Sandin,Nanyang Technological University,Singapore,Singapore
15,Sara Sandin,Nanyang Technological University,Singapore,Singapore
16,Kajsa Hallberg Adu,Ashesi University,Eastern Region,Ghana
17,Tomas Bergström,Saint Louis University,Missouri,United States of America
18,Lars Östlund,Saint Louis University,Missouri,United States of America
19,Áskell Löve,University of Colorado Boulder,Boulder,United States of America
20,Chuen Seng Tan,National University of Singapore,Singapore,Singapore
21,Rajeev Prabhakar,University of Miami,Coral Gables,United States of America
22,Tim Canova,University of Miami,Coral Gables,United States of America
23,Wendell A. Mordy,University of Miami,Coral Gables,United States of America
24,Claes Wahlestedt,University of Miami,Coral Gables,United States of America
25,David Marcusson-Clavertz,Pennsylvania State University,State College,United States of America
26,Bertil Lindblad,Uppsala Astronomical Observatory,Uppsala Municipality,Sweden
27,Anders Jonas Ångström,Uppsala Astronomical Observatory,Uppsala Municipality,Sweden
28,Ingrid E.M. Edlund-Berry,University of Georgia,Athens,United States of America
29,Lukáš Čajánek,Masaryk University,Brno,Czech Republic
30,Martin Stervander,University of Oregon,Eugene,United States of America
31,Agneta Herlitz,Max Planck Institute for Human Development,Charlottenburg-Wilmersdorf,Germany
32,Staffan Normark,Washington University in St. Louis,St. Louis,United States of America
33,Christel Nielsen,Skåne University Hospital,Malmö Municipality,Sweden
34,Christel Nielsen,Skåne University Hospital,Lund Municipality,Sweden
35,Johan Tham,Skåne University Hospital,Malmö Municipality,Sweden
36,Johan Tham,Skåne University Hospital,Lund Municipality,Sweden
37,Lars Hagander,Skåne University Hospital,Malmö Municipality,Sweden
38,Lars Hagander,Skåne University Hospital,Lund Municipality,Sweden
39,Meliha C Kapetanovic,Skåne University Hospital,Malmö Municipality,Sweden
40,Meliha C Kapetanovic,Skåne University Hospital,Lund Municipality,Sweden
41,Emil Ygland,Skåne University Hospital,Malmö Municipality,Sweden
42,Emil Ygland,Skåne University Hospital,Lund Municipality,Sweden
43,Erik Blennow Nordström,Skåne University Hospital,Malmö Municipality,Sweden
44,Erik Blennow Nordström,Skåne University Hospital,Lund Municipality,Sweden
45,Carl Axel Gottlund,Kuopion Lyseon lukio,Kuopio,Finland
46,Rolf Holmqvist,Linköping University,Linköping Municipality,Sweden
47,Johan Edqvist,Linköping University,Linköping Municipality,Sweden
48,Stefan Thor,Linköping University,Linköping Municipality,Sweden
49,Bertil Andersson,Linköping University,Linköping Municipality,Sweden
50,Tina Krantz-Rülcker,Linköping University,Linköping Municipality,Sweden
51,Åke Öberg,Linköping University,Linköping Municipality,Sweden
52,Christer Svensson,Linköping University,Linköping Municipality,Sweden
53,Larsgunnar Nilsson,Linköping University,Linköping Municipality,Sweden
54,Ingemar Lundström,Linköping University,Linköping Municipality,Sweden
55,John Andersson,Linköping University,Linköping Municipality,Sweden
56,Ali Reza Majlesi,Linköping University,Linköping Municipality,Sweden
57,Tord Jöran Hallberg,Linköping University,Linköping Municipality,Sweden
58,Bert Allard,Linköping University,Linköping Municipality,Sweden
59,Lars Eriksson,Linköping University,Linköping Municipality,Sweden
60,C Lindholm,Linköping University,Linköping Municipality,Sweden
61,Stefan Gustafson,Linköping University,Linköping Municipality,Sweden
62,Jaganmohan R Jangamreddy,Linköping University,Linköping Municipality,Sweden
63,M Jansson,Linköping University,Linköping Municipality,Sweden
64,David Hall,Linköping University,Linköping Municipality,Sweden
65,Ankica Babic,Linköping University,Linköping Municipality,Sweden
66,Johan E Larsson,Linköping University,Linköping Municipality,Sweden
67,Elisabeth Wetterlund,Linköping University,Linköping Municipality,Sweden
68,Anniqa Foldemo,Linköping University,Linköping Municipality,Sweden
69,Svante Linusson,Linköping University,Linköping Municipality,Sweden
70,Robert W. Grubbström,Linköping University,Linköping Municipality,Sweden
71,Per Milberg,Linköping University,Linköping Municipality,Sweden
72,Sven Erlander,Linköping University,Linköping Municipality,Sweden
73,Hans Rådström,Linköping University,Linköping Municipality,Sweden
74,Jerker Rönnberg,Linköping University,Linköping Municipality,Sweden
75,Per-Olof Hansson,Linköping University,Linköping Municipality,Sweden
76,John Carstensen,Linköping University,Linköping Municipality,Sweden
77,L Nilsson,Linköping University,Linköping Municipality,Sweden
78,Marcus Larsson,Linköping University,Linköping Municipality,Sweden
79,Olle Hellman,Linköping University,Linköping Municipality,Sweden
80,Björn Granseth,Linköping University,Linköping Municipality,Sweden
81,Martin Karlsson,Linköping University,Linköping Municipality,Sweden
82,Christian Ståhl,Linköping University,Linköping Municipality,Sweden
83,Stergios Kechagias,Linköping University,Linköping Municipality,Sweden
84,Pernilla Eliasson,Linköping University,Linköping Municipality,Sweden
85,Roger Gabrielsson,Linköping University,Linköping Municipality,Sweden
86,Amir Fallahshahroudi,Linköping University,Linköping Municipality,Sweden
87,Karl-Eric Magnusson,Linköping University,Linköping Municipality,Sweden
88,Eva Blomqvist,Linköping University,Linköping Municipality,Sweden
89,Ericka Sue Johnson,Linköping University,Linköping Municipality,Sweden
90,Zhong Zhihua,Linköping University,Linköping Municipality,Sweden
91,Lars Hultman,Linköping University,Linköping Municipality,Sweden
92,Fredrik Gustafsson,Linköping University,Linköping Municipality,Sweden
93,Jan-Eric Sundgren,Linköping University,Linköping Municipality,Sweden
94,Helen Dannetun,Linköping University,Linköping Municipality,Sweden
95,Martin Kylhammar,Linköping University,Linköping Municipality,Sweden
96,Kjell-Ove Widman,Linköping University,Linköping Municipality,Sweden
97,Gunnar Aschan,Linköping University,Linköping Municipality,Sweden
98,Gerhard Andersson,Linköping University,Linköping Municipality,Sweden
99,Agneta Stark,Linköping University,Linköping Municipality,Sweden
100,Margareta Hydén,Linköping University,Linköping Municipality,Sweden
101,Max Larsson,Linköping University,Linköping Municipality,Sweden
102,Susanne Kelfve,Linköping University,Linköping Municipality,Sweden
103,Mattias Villani,Linköping University,Linköping Municipality,Sweden
104,Andreas Tjärnberg,Linköping University,Linköping Municipality,Sweden
105,Fredrik Nyström,Linköping University,Linköping Municipality,Sweden
106,Anders Rosén,Linköping University,Linköping Municipality,Sweden
107,Zhong Zhihua,Linköping University,Linköping Municipality,Sweden
108,Ragnar Berlin,Linköping University,Linköping Municipality,Sweden
109,Erik Sandewall,Linköping University,Linköping Municipality,Sweden
110,Johnny Ludvigsson,Linköping University,Linköping Municipality,Sweden
111,Yngve A. A. Larsson,Linköping University,Linköping Municipality,Sweden
112,Olov Lindahl,Linköping University,Linköping Municipality,Sweden
113,Yngve A. A. Larsson,Linköping University,Linköping Municipality,Sweden
114,Lars-Erik Larsson,Linköping University,Linköping Municipality,Sweden
115,Andreas Tjärnberg,Linköping University,Linköping Municipality,Sweden
116,Per Milberg,Linköping University,Linköping Municipality,Sweden
117,Göran Goldkuhl,Linköping University,Linköping Municipality,Sweden
118,Naira Topooco,Linköping University,Linköping Municipality,Sweden
119,Tomas Lindahl,Linköping University,Linköping Municipality,Sweden
120,Per Jensen,Linköping University,Linköping Municipality,Sweden
121,Lars Baltzer,Linköping University,Linköping Municipality,Sweden
122,Nils Starfelt,Linköping University,Linköping Municipality,Sweden
123,Fredrik Elinder,Linköping University,Linköping Municipality,Sweden
124,Åke Öberg,Linköping University,Linköping Municipality,Sweden
125,Lennart Ljung,Linköping University,Linköping Municipality,Sweden
126,Lars Nielsen,Linköping University,Linköping Municipality,Sweden
127,Stig Hagström,Linköping University,Linköping Municipality,Sweden
128,Lina S V Roth,Linköping University,Linköping Municipality,Sweden
129,Johan Brask,Linköping University,Linköping Municipality,Sweden
130,John Carstensen,Linköping University,Linköping Municipality,Sweden
131,Bo Bergman,Linköping University,Linköping Municipality,Sweden
132,Patricia Hansen,National University of La Plata,La Plata,Argentina
133,Per Mollerup,Swinburne University of Technology,Victoria,Australia
134,Zongli Zheng,City University of Hong Kong,Hong Kong,People's Republic of China
135,Johann Jacob Ferber,Bergakademie Berlin,Berlin,Germany
136,Carl Frænell,Bergsunds Mekaniska Verkstad,Stockholm Municipality,Sweden
137,Andris Vaivads,Max Planck Institute for Extraterrestrial Physics,Garching bei München,Germany
138,Xin Lu,National University of Defense Technology,Changsha,People's Republic of China
139,Rafael Camacho,Katholieke Universiteit Leuven,Leuven,Belgium
140,Janis Bubenko,Chalmers University of Technology,Gothenburg Municipality,Sweden
141,Nils Bengtsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
142,Carl-Georg Aurell,Chalmers University of Technology,Gothenburg Municipality,Sweden
143,Erik G. Ström,Chalmers University of Technology,Gothenburg Municipality,Sweden
144,Lina Bertling Tjernberg,Chalmers University of Technology,Gothenburg Municipality,Sweden
145,Per Hedelin,Chalmers University of Technology,Gothenburg Municipality,Sweden
146,Sune Lindström,Chalmers University of Technology,Gothenburg Municipality,Sweden
147,Erik Agrell,Chalmers University of Technology,Gothenburg Municipality,Sweden
148,Sofia Börjesson,Chalmers University of Technology,Gothenburg Municipality,Sweden
149,Torleiv Orhaug,Chalmers University of Technology,Gothenburg Municipality,Sweden
150,Yngve Hamnerius,Chalmers University of Technology,Gothenburg Municipality,Sweden
151,Pontus Johannisson,Chalmers University of Technology,Gothenburg Municipality,Sweden
152,Gesa Praetorius,Chalmers University of Technology,Gothenburg Municipality,Sweden
153,Lars M. H. Ulander,Chalmers University of Technology,Gothenburg Municipality,Sweden
154,Baharan Ali Doosti,Chalmers University of Technology,Gothenburg Municipality,Sweden
155,Anna Martinelli,Chalmers University of Technology,Gothenburg Municipality,Sweden
156,Åsa Haglund,Chalmers University of Technology,Gothenburg Municipality,Sweden
157,Jan Stake,Chalmers University of Technology,Gothenburg Municipality,Sweden
158,Nadia Peerboom,Chalmers University of Technology,Gothenburg Municipality,Sweden
159,Raul Barbosa,Chalmers University of Technology,Gothenburg Municipality,Sweden
160,Anette Larsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
161,Dan Li,Chalmers University of Technology,Gothenburg Municipality,Sweden
162,Cecilia Berlin,Chalmers University of Technology,Gothenburg Municipality,Sweden
163,Zhihang Wang,Chalmers University of Technology,Gothenburg Municipality,Sweden
164,PER LUNDGREN,Chalmers University of Technology,Gothenburg Municipality,Sweden
165,Johan Dunevall,Chalmers University of Technology,Gothenburg Municipality,Sweden
166,Gustav Jönsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
167,Magdalena Svanström,Chalmers University of Technology,Gothenburg Municipality,Sweden
168,Jonna Hynynen,Chalmers University of Technology,Gothenburg Municipality,Sweden
169,Thomas Nilsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
170,Maria Elmquist,Chalmers University of Technology,Gothenburg Municipality,Sweden
171,Henrikke Baumann,Chalmers University of Technology,Gothenburg Municipality,Sweden
172,Magnus Karlsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
173,Thomas Eriksson,Chalmers University of Technology,Gothenburg Municipality,Sweden
174,Anton F Kockum,Chalmers University of Technology,Gothenburg Municipality,Sweden
175,Anna Ström,Chalmers University of Technology,Gothenburg Municipality,Sweden
176,Gunnar Kärrholm,Chalmers University of Technology,Gothenburg Municipality,Sweden
177,Marianne Kärrholm,Chalmers University of Technology,Gothenburg Municipality,Sweden
178,Johan Winges,Chalmers University of Technology,Gothenburg Municipality,Sweden
179,Alexandra Paul,Chalmers University of Technology,Gothenburg Municipality,Sweden
180,Mats Y. Svensson,Chalmers University of Technology,Gothenburg Municipality,Sweden
181,Britt-marie Wilén,Chalmers University of Technology,Gothenburg Municipality,Sweden
182,Carl Johan Franzén,Chalmers University of Technology,Gothenburg Municipality,Sweden
183,Juris Kiskis,Chalmers University of Technology,Gothenburg Municipality,Sweden
184,Robert J. Berman,Chalmers University of Technology,Gothenburg Municipality,Sweden
185,Pernilla Wittung-Stafshede,Chalmers University of Technology,Gothenburg Municipality,Sweden
186,Robert Magnusson,Chalmers University of Technology,Gothenburg Municipality,Sweden
187,Sven Lavemark,Chalmers University of Technology,Gothenburg Municipality,Sweden
188,Louise Olsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
189,Maria Knutson Wedel,Chalmers University of Technology,Gothenburg Municipality,Sweden
190,Anders Svennerud,Chalmers University of Technology,Gothenburg Municipality,Sweden
191,Sven Hansbo,Chalmers University of Technology,Gothenburg Municipality,Sweden
192,Peter Hansbo,Chalmers University of Technology,Gothenburg Municipality,Sweden
193,Per-Olof Nilsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
194,Rune Falk,Chalmers University of Technology,Gothenburg Municipality,Sweden
195,Melchior Wernstedt,Chalmers University of Technology,Gothenburg Municipality,Sweden
196,Gunnar Weijman-Hane,Chalmers University of Technology,Gothenburg Municipality,Sweden
197,Erik Stemme,Chalmers University of Technology,Gothenburg Municipality,Sweden
198,Anders Sjöberg,Chalmers University of Technology,Gothenburg Municipality,Sweden
199,Erik Kollberg,Chalmers University of Technology,Gothenburg Municipality,Sweden
200,Liyun Yang,Royal Institute of Technology,Stockholm Municipality,Sweden
201,Henrik Aspeborg,Royal Institute of Technology,Stockholm Municipality,Sweden
202,Pierre Nyquist,Royal Institute of Technology,Stockholm Municipality,Sweden
203,Joachim Oberhammer,Royal Institute of Technology,Stockholm Municipality,Sweden
204,Gustav Martinsson,Royal Institute of Technology,Stockholm Municipality,Sweden
205,Alireza Hajian,Royal Institute of Technology,Stockholm Municipality,Sweden
206,Karim Elgammal,Royal Institute of Technology,Stockholm Municipality,Sweden
207,PerMagnus Lindborg,Royal Institute of Technology,Stockholm Municipality,Sweden
208,Mikaela Wiking,Royal Institute of Technology,Stockholm Municipality,Sweden
209,Anastasia V Riazanova,Royal Institute of Technology,Stockholm Municipality,Sweden
210,Yunguo Li,Royal Institute of Technology,Stockholm Municipality,Sweden
211,Xi Pang,Royal Institute of Technology,Stockholm Municipality,Sweden
212,Jinyue Yan,Royal Institute of Technology,Stockholm Municipality,Sweden
213,Francesco Fuso Nerini,Royal Institute of Technology,Stockholm Municipality,Sweden
214,Aman Russom,Royal Institute of Technology,Stockholm Municipality,Sweden
215,Radwa Mahmoud Ashour,Royal Institute of Technology,Stockholm Municipality,Sweden
216,Muhammad Afzal,Royal Institute of Technology,Stockholm Municipality,Sweden
217,Simon J. Bleiker,Royal Institute of Technology,Stockholm Municipality,Sweden
218,Stefan Östlund,Royal Institute of Technology,Stockholm Municipality,Sweden
219,Örjan Ekeberg,Royal Institute of Technology,Stockholm Municipality,Sweden
220,Michael Benedicks,Royal Institute of Technology,Stockholm Municipality,Sweden
221,Conny Palm,Royal Institute of Technology,Stockholm Municipality,Sweden
222,Carl-Gunne Fälthammar,Royal Institute of Technology,Stockholm Municipality,Sweden
223,Halina Neujahr,Royal Institute of Technology,Stockholm Municipality,Sweden
224,Georgia Destouni,Royal Institute of Technology,Stockholm Municipality,Sweden
225,Axel Hultgren,Royal Institute of Technology,Stockholm Municipality,Sweden
226,Arne Bjerhammar,Royal Institute of Technology,Stockholm Municipality,Sweden
227,Anders Lindquist,Royal Institute of Technology,Stockholm Municipality,Sweden
228,Gunnar Fant,Royal Institute of Technology,Stockholm Municipality,Sweden
229,Östen Mäkitalo,Royal Institute of Technology,Stockholm Municipality,Sweden
230,Lars Israel Wahlman,Royal Institute of Technology,Stockholm Municipality,Sweden
231,Heinz-Otto Kreiss,Royal Institute of Technology,Stockholm Municipality,Sweden
232,Harry von Eckermann,Royal Institute of Technology,Stockholm Municipality,Sweden
233,Nils Ahrbom,Royal Institute of Technology,Stockholm Municipality,Sweden
234,Peter Pohl,Royal Institute of Technology,Stockholm Municipality,Sweden
235,Fredrik Ljungström,Royal Institute of Technology,Stockholm Municipality,Sweden
236,Waloddi Weibull,Royal Institute of Technology,Stockholm Municipality,Sweden
237,Anders Franzén,Royal Institute of Technology,Stockholm Municipality,Sweden
238,Isak Gustaf Clason,Royal Institute of Technology,Stockholm Municipality,Sweden
239,Uno Åhrén,Royal Institute of Technology,Stockholm Municipality,Sweden
240,Björn Engquist,Royal Institute of Technology,Stockholm Municipality,Sweden
241,Alfred Grenander,Royal Institute of Technology,Stockholm Municipality,Sweden
242,Karl Johan Åström,Royal Institute of Technology,Stockholm Municipality,Sweden
243,Peter Celsing,Royal Institute of Technology,Stockholm Municipality,Sweden
244,Christer Fuglesang,Royal Institute of Technology,Stockholm Municipality,Sweden
245,Gunnar Asplund,Royal Institute of Technology,Stockholm Municipality,Sweden
246,Ivar Otto Bendixson,Royal Institute of Technology,Stockholm Municipality,Sweden
247,Hannes Alfvén,Royal Institute of Technology,Stockholm Municipality,Sweden
248,Peter Hansbo,Royal Institute of Technology,Stockholm Municipality,Sweden
249,Jan Bäcklund,Royal Institute of Technology,Stockholm Municipality,Sweden
250,Janne Wallenius,Royal Institute of Technology,Stockholm Municipality,Sweden
251,Anders Szepessy,Royal Institute of Technology,Stockholm Municipality,Sweden
252,Göran Stemme,Royal Institute of Technology,Stockholm Municipality,Sweden
253,Mathias Uhlén,Royal Institute of Technology,Stockholm Municipality,Sweden
254,Stephan Schönecker,Royal Institute of Technology,Stockholm Municipality,Sweden
255,V Korenivski,Royal Institute of Technology,Stockholm Municipality,Sweden
256,Anders Broström,Royal Institute of Technology,Stockholm Municipality,Sweden
257,Sven Gerdin,Royal Institute of Technology,Stockholm Municipality,Sweden
258,Cecilia Williams,Royal Institute of Technology,Stockholm Municipality,Sweden
259,Sasan Sadrizadeh,Royal Institute of Technology,Stockholm Municipality,Sweden
260,Torbjörn Pettersson,Royal Institute of Technology,Stockholm Municipality,Sweden
261,Erik Widman,Royal Institute of Technology,Stockholm Municipality,Sweden
262,Olof Ljungström,Royal Institute of Technology,Stockholm Municipality,Sweden
263,Johan Nilvebrant,Royal Institute of Technology,Stockholm Municipality,Sweden
264,Anders Lansner,Royal Institute of Technology,Stockholm Municipality,Sweden
265,Christofer Leygraf,Royal Institute of Technology,Stockholm Municipality,Sweden
266,Ann-Christine Albertsson,Royal Institute of Technology,Stockholm Municipality,Sweden
267,Mats Ohlin,Royal Institute of Technology,Stockholm Municipality,Sweden
268,Christina Engdahl,Royal Institute of Technology,Stockholm Municipality,Sweden
269,Michael Granit,Royal Institute of Technology,Stockholm Municipality,Sweden
270,Nils Gyldén,Royal Institute of Technology,Stockholm Municipality,Sweden
271,Fritz Hjelte,Royal Institute of Technology,Stockholm Municipality,Sweden
272,Sara Zahedi,Royal Institute of Technology,Stockholm Municipality,Sweden
273,Semida Silveira,Royal Institute of Technology,Stockholm Municipality,Sweden
274,Anna-Karin Tornberg,Royal Institute of Technology,Stockholm Municipality,Sweden
275,Seif Haridi,Royal Institute of Technology,Stockholm Municipality,Sweden
276,John Andersson,Royal Institute of Technology,Stockholm Municipality,Sweden
277,Kjell Samuelson,Royal Institute of Technology,Stockholm Municipality,Sweden
278,Torsten R. Åström,Royal Institute of Technology,Stockholm Municipality,Sweden
279,Paul Åberg,Royal Institute of Technology,Stockholm Municipality,Sweden
280,Lars H Zetterberg,Royal Institute of Technology,Stockholm Municipality,Sweden
281,Torbjörn Pettersson,Royal Institute of Technology,Stockholm Municipality,Sweden
282,Carl-Olof Morfeldt,Royal Institute of Technology,Stockholm Municipality,Sweden
283,Jan-Robert Eklind,Royal Institute of Technology,Stockholm Municipality,Sweden
284,Evert Norlin,Royal Institute of Technology,Stockholm Municipality,Sweden
285,Peter Hedström,Royal Institute of Technology,Stockholm Municipality,Sweden
286,Love Alm,Royal Institute of Technology,Stockholm Municipality,Sweden
287,Torleif Härd,Royal Institute of Technology,Stockholm Municipality,Sweden
288,Mats Hillert,Royal Institute of Technology,Stockholm Municipality,Sweden
289,Pontus Herman Henriques,Royal Institute of Technology,Stockholm Municipality,Sweden
290,Nils Hartler,Royal Institute of Technology,Stockholm Municipality,Sweden
291,Erik G. Hallén,Royal Institute of Technology,Stockholm Municipality,Sweden
292,Göran Grimvall,Royal Institute of Technology,Stockholm Municipality,Sweden
293,Stellan Ekberg,Royal Institute of Technology,Stockholm Municipality,Sweden
294,Janis Bubenko,Royal Institute of Technology,Stockholm Municipality,Sweden
295,Bertil Agdur,Royal Institute of Technology,Stockholm Municipality,Sweden
296,Henry Radamson,Royal Institute of Technology,Stockholm Municipality,Sweden
297,Tobias Benselfelt,Royal Institute of Technology,Stockholm Municipality,Sweden
298,Daniel Lundin,Royal Institute of Technology,Stockholm Municipality,Sweden
299,Emil Victor Langlet,Royal Institute of Technology,Stockholm Municipality,Sweden
300,Lars Samuelson,Chalmers University of Technology,Gothenburg Municipality,Sweden
301,Sven Olving,Chalmers University of Technology,Gothenburg Municipality,Sweden
302,Ingemar Lundström,Chalmers University of Technology,Gothenburg Municipality,Sweden
303,Anders Lindblad,Chalmers University of Technology,Gothenburg Municipality,Sweden
304,Hans Fog,Chalmers University of Technology,Gothenburg Municipality,Sweden
305,Jan Stefenson,Chalmers University of Technology,Gothenburg Municipality,Sweden
306,Tomas Kåberger,Chalmers University of Technology,Gothenburg Municipality,Sweden
307,Olle Häggström,Chalmers University of Technology,Gothenburg Municipality,Sweden
308,Folke Hjalmers,Chalmers University of Technology,Gothenburg Municipality,Sweden
309,Christian Ekberg,Chalmers University of Technology,Gothenburg Municipality,Sweden
310,Janis Bubenko,Chalmers University of Technology,Gothenburg Municipality,Sweden
311,Hans-Olof Andrén,Chalmers University of Technology,Gothenburg Municipality,Sweden
312,Bror Viktor Adler,Chalmers University of Technology,Gothenburg Municipality,Sweden
313,Anne-Marie Hermansson,Chalmers University of Technology,Gothenburg Municipality,Sweden
314,Anna Dubois,Chalmers University of Technology,Gothenburg Municipality,Sweden
315,Leif Östling,Chalmers University of Technology,Gothenburg Municipality,Sweden
316,Helge Zimdal,Chalmers University of Technology,Gothenburg Municipality,Sweden
317,Gustaf Robert Dahlander,Chalmers University of Technology,Gothenburg Municipality,Sweden
318,Gert Wingårdh,Chalmers University of Technology,Gothenburg Municipality,Sweden
319,Torkel Wallmark,Chalmers University of Technology,Gothenburg Municipality,Sweden
320,Nils Göran Sjöstrand,Chalmers University of Technology,Gothenburg Municipality,Sweden
321,Lembit Sihver,Chalmers University of Technology,Gothenburg Municipality,Sweden
322,Birger Qvarnström,Chalmers University of Technology,Gothenburg Municipality,Sweden
323,Fritz Pegelow,Chalmers University of Technology,Gothenburg Municipality,Sweden
324,Lars Nordström,Chalmers University of Technology,Gothenburg Municipality,Sweden
325,Ingvar Lindgren,Chalmers University of Technology,Gothenburg Municipality,Sweden
326,Ingvar Jung,Chalmers University of Technology,Gothenburg Municipality,Sweden
327,Hjalmar Granholm,Chalmers University of Technology,Gothenburg Municipality,Sweden
328,Cyrill Brosset,Chalmers University of Technology,Gothenburg Municipality,Sweden
329,Olof Sjöstrand,Chalmers University of Technology,Gothenburg Municipality,Sweden
330,Alf Sjölander,Chalmers University of Technology,Gothenburg Municipality,Sweden
331,Mats Viberg,Chalmers University of Technology,Gothenburg Municipality,Sweden
332,Jan-Eric Sundgren,Chalmers University of Technology,Gothenburg Municipality,Sweden
333,Itai Panas,Chalmers University of Technology,Gothenburg Municipality,Sweden
334,Carina Persson,Chalmers University of Technology,Gothenburg Municipality,Sweden
335,Alexandr Nasedkin,Chalmers University of Technology,Gothenburg Municipality,Sweden
336,Vidar Thomée,Chalmers University of Technology,Gothenburg Municipality,Sweden
337,Karin Markides,Chalmers University of Technology,Gothenburg Municipality,Sweden
338,Gunnar Dahlbäck,Chalmers University of Technology,Gothenburg Municipality,Sweden
339,Lars Samuelson,Chalmers University of Technology,Gothenburg Municipality,Sweden
340,Jan Riise,Chalmers University of Technology,Gothenburg Municipality,Sweden
341,Joakim Norbeck,Chalmers University of Technology,Gothenburg Municipality,Sweden
342,Bengt Kasemo,Chalmers University of Technology,Gothenburg Municipality,Sweden
343,Bo Berndtsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
344,Stig Lundqvist,Chalmers University of Technology,Gothenburg Municipality,Sweden
345,Ingvar Lindgren,Chalmers University of Technology,Gothenburg Municipality,Sweden
346,Mikael Molin,Chalmers University of Technology,Gothenburg Municipality,Sweden
347,Maria Elmquist,Chalmers University of Technology,Gothenburg Municipality,Sweden
348,Christer Larsson,Chalmers University of Technology,Gothenburg Municipality,Sweden
349,Carl Brunius,Chalmers University of Technology,Gothenburg Municipality,Sweden
350,Leif Arkeryd,Chalmers University of Technology,Gothenburg Municipality,Sweden
351,Abraham Langlet,Chalmers University of Technology,Gothenburg Municipality,Sweden
352,Gunnar Bjursell,Chalmers University of Technology,Gothenburg Municipality,Sweden
353,Alastair B. Ross,Chalmers University of Technology,Gothenburg Municipality,Sweden
354,Curt Roslund,Chalmers University of Technology,Gothenburg Municipality,Sweden
355,Harald Bergström,Chalmers University of Technology,Gothenburg Municipality,Sweden
356,Nils Svartholm,Chalmers University of Technology,Gothenburg Municipality,Sweden
357,Johan Martin Lovén,Chalmers University of Technology,Gothenburg Municipality,Sweden
358,Andreas Ekström,Chalmers University of Technology,Gothenburg Municipality,Sweden
359,Jessica Lindholm,Chalmers University of Technology,Gothenburg Municipality,Sweden
360,Stig Hagström,Chalmers University of Technology,Gothenburg Municipality,Sweden
361,Nils Gralén,Chalmers University of Technology,Gothenburg Municipality,Sweden
362,Hilding Faxén,Chalmers University of Technology,Gothenburg Municipality,Sweden
363,Åke Gerhard Ekstrand,Chalmers University of Technology,Gothenburg Municipality,Sweden
364,Marina Alexandersson,Chalmers University of Technology,Gothenburg Municipality,Sweden
365,Hans Löfsten,Chalmers University of Technology,Gothenburg Municipality,Sweden
366,Lars-Erik Gadde,Chalmers University of Technology,Gothenburg Municipality,Sweden
367,Arne Broman,Chalmers University of Technology,Gothenburg Municipality,Sweden
368,Per Delsing,Chalmers University of Technology,Gothenburg Municipality,Sweden
369,Stig Centerwall,Chalmers University of Technology,Gothenburg Municipality,Sweden
370,Bo Bergman,Chalmers University of Technology,Gothenburg Municipality,Sweden
371,Anne-Marie Hermansson,Chalmers University of Technology,Gothenburg Municipality,Sweden
372,Bengt Nordén,Chalmers University of Technology,Gothenburg Municipality,Sweden
373,Anders Winroth,Newcastle University,City of Newcastle upon Tyne,United Kingdom
374,Mari Palta,University of Wisconsin–Madison,Madison,United States of America
375,Nils Hasselmo,University of Wisconsin–Madison,Madison,United States of America
376,Gunnar Christie Wasberg,University of Wisconsin–Madison,Madison,United States of America
377,Isabelle Attard,Muséum national d'histoire naturelle,Paris,France
378,Linda Hinners,Nationalmuseum,Stockholm Municipality,Sweden
379,Ulla Ehrensvärd,Nationalmuseum,Stockholm Municipality,Sweden
380,Solfrid Söderlind,Nationalmuseum,Stockholm Municipality,Sweden
381,Solfrid Söderlind,Nationalmuseum,Stockholm Municipality,Sweden
382,Peter Nordlander,Rice University,Houston,United States of America
383,Magnus Nyrén,Pulkovo Observatory,Saint Petersburg,Russia
384,Magnus Nyrén,Pulkovo Observatory,Pulkovo Mountain,Russia
385,Oskar Backlund,Pulkovo Observatory,Saint Petersburg,Russia
386,Oskar Backlund,Pulkovo Observatory,Pulkovo Mountain,Russia
