,alumnus,place,country,university
98,Leif Silbersky,Malmö,Sweden,Lund University
99,Germund Dahlquist,Uppsala,Sweden,Stockholm University
100,Anders Jahan Retzius,Kristianstads parish,Sweden,Lund University
101,Anders Johan von Höpken,Stockholm City,Sweden,Uppsala University
102,Anders Lilliehöök,Riga,Latvia,Uppsala University
103,Anders Lindstedt,Sundborns,Sweden,Lund University
104,Anders Tengbom,Stockholm,Sweden,Royal Institute of Technology
105,Anders Wiman,Hammarlöv,Sweden,Lund University
106,Anders Wejryd,Falköping,Sweden,Uppsala University
107,Andreas Berlin,Nora,Sweden,Uppsala University
108,Andreas Carlgren,Upplands-Bro Municipality,Sweden,Stockholm University
109,Anders Dahl,Varnhem,Sweden,Uppsala University
110,Herman Bernhard Lundborg,Väse parish,Sweden,Karolinska Institute
111,Herman Bernhard Lundborg,Väse parish,Sweden,Lund University
112,Nisse Strinning,Kramfors,Sweden,Royal Institute of Technology
113,Ulrika Knape,Gothenburg,Sweden,Örebro University
114,Iris Johansson,Lidköping,Sweden,Uppsala University
115,Antonia Ax:son Johnson,New York,United States of America,Stockholm University
116,Marie Hermanson,Gothenburg,Sweden,University of Gothenburg
117,Fredrick Federley,Köping,Sweden,Örebro University
118,Klara Lidén,Stockholm,Sweden,Royal Institute of Technology
119,Susanna Alakoski,Vaasa,Finland,Umeå University
120,Yvonne Hirdman,Stockholm,Sweden,Stockholm University
121,Gunnar Hedlund,Helgum,Sweden,Stockholm University
122,Gunnar Hedlund,Helgum,Sweden,Uppsala University
123,Georg Stiernhielm,Vika församling,Sweden,Uppsala University
124,Inger Segelström,Stockholm,Sweden,Stockholm University
125,Bengt Westerlund,Gävle,Sweden,Uppsala University
126,Hanna Rydh,Adolf Fredriks parish,Sweden,Stockholm University
127,Hanna Rydh,Adolf Fredriks parish,Sweden,Uppsala University
128,Jimmie Åkesson,Ivetofta,Sweden,Lund University
129,Maria Borelius,Täby,Sweden,Lund University
130,Ulf Grahn,Solna Municipality,Sweden,Lund University
131,Ulf Grahn,Solna Municipality,Sweden,Uppsala University
132,Bernhard Schmidt,Naissaar,Estonia,Chalmers University of Technology
133,Anna Sjöström,Skellefteå,Sweden,Umeå University
134,Christina Olofson,Kristinehamn,Sweden,University of Gothenburg
135,Peter Artedi,Örnsköldsvik Municipality,Sweden,Uppsala University
136,Karl Oskar Medin,Axberg parish,Sweden,Karolinska Institute
137,Karl Oskar Medin,Axberg parish,Sweden,Uppsala University
138,Per-Olov Löwdin,Uppsala,Sweden,Uppsala University
139,Veronica Smedh,Sundsvall Municipality,Sweden,Mid Sweden University
140,Torsten Carleman,Visseltofta,Sweden,Uppsala University
141,Sven Markelius,Maria Magdalena parish,Sweden,Royal Institute of Technology
142,Pehr Victor Edman,Stockholm,Sweden,Karolinska Institute
143,Marika Domanski-Lyfors,Gothenburg,Sweden,Örebro University
144,Göran Wahlenberg,Kroppa församling,Sweden,Uppsala University
145,Arvid Lindau,Malmö Sankt Petri församling,Sweden,Lund University
146,Lena Ek,Mönsterås,Sweden,Lund University
147,Isak Collijn,Halmstad,Sweden,Uppsala University
148,Lena Sommestad,Börje,Sweden,Uppsala University
149,Ture Nerman,Norrköpings Hedvig Parish,Sweden,Uppsala University
150,Helge Backlund,Tartu,Estonia,Uppsala University
151,Erik Leonard Ekman,Stockholm,Sweden,Lund University
152,August Uno Lamm,Gothenburg,Sweden,Royal Institute of Technology
153,Leni Björklund,Örebro,Sweden,Uppsala University
154,Artur Hazelius,Adolf Fredriks parish,Sweden,Uppsala University
155,Sigurd Lewerentz,Bjärtrå,Sweden,Chalmers University of Technology
156,Johan August Brinell,Bringetofta socken,Sweden,Royal Institute of Technology
157,Johan Wilcke,Wismar,Germany,Uppsala University
158,Johannes Steuchius,Härnösands domkyrkoförsamling,Sweden,Uppsala University
159,Michael Treschow,Helsingborg,Sweden,Lund University
160,Harald Treutiger,Härlanda,Sweden,University of Gothenburg
161,Sven Ivar Seldinger,Mora,Sweden,Karolinska Institute
162,Leif Johansson,Gothenburg,Sweden,Chalmers University of Technology
