,alumnus,place,country,university
866,Ingemar Düring,Gothenburg,Sweden,University of Gothenburg
867,Johannes Rudbeckius,Almby parish,Sweden,Uppsala University
868,Jaan Puhvel,Tallinn,Estonia,Uppsala University
869,Jacob Axel Josephson,Stockholm,Sweden,Uppsala University
870,Jan Berglin,Sweden,Sweden,Uppsala University
871,Jan Sandström,Stockholm,Sweden,Luleå University of Technology
872,Jan G. Waldenström,Stockholm,Sweden,Uppsala University
873,Jesper Salén,Lidingö,Sweden,Karolinska Institute
874,Joe Armstrong,London,United Kingdom,Royal Institute of Technology
875,Johan Harmenberg,Stockholm,Sweden,Karolinska Institute
876,Johan Lorentz Aschan,Flisby församling,Sweden,Uppsala University
877,Johan Waldenström,Luleå,Sweden,Uppsala University
878,Johan Vising,Västernorrland County,Sweden,Uppsala University
879,Lennart Heimer,Östersund,Sweden,University of Gothenburg
880,Johannes Wahlström,Israel,Israel,Stockholm University
881,Albin Stark,Hudiksvall,Sweden,Royal Institute of Technology
882,Sigurd Curman,Hedvig Eleonora församling,Sweden,Uppsala University
883,Jonas Erickson Sundahl,Sweden,Sweden,Uppsala University
884,Jón Baldvin Hannibalsson,Ísafjörður,Iceland,Stockholm University
885,Karl Vennberg,Blädinge församling,Sweden,Lund University
886,Klas Anshelm,Gothenburg,Sweden,Chalmers University of Technology
887,Emma Wertsén,Sweden,Sweden,University of Gothenburg
888,Carl Bovallius,Maria Magdalena parish,Sweden,Uppsala University
889,Per Olof Hallman,Stockholm,Sweden,Royal Institute of Technology
890,Thorsten Nordenfelt,parish Örby-Skene,Sweden,Royal Institute of Technology
891,Lars Backer,Christiania,Norway,Royal Institute of Technology
892,Stefan Bengtson,Sweden,Sweden,Uppsala University
893,Hjalmar Lundbohm,Ödeborgs församling,Sweden,Chalmers University of Technology
894,Christian Peder Bianco Boeck,Kongsberg,Norway,Uppsala University
895,Urban Bäckström,Sollefteå,Sweden,Stockholm University
896,Magnus Härenstam,Västervik,Sweden,Stockholm University
897,Nils Ahnlund,Uppsala Cathedral Assembly,Sweden,Uppsala University
898,Christian Günther,Hedvig Eleonora församling,Sweden,Lund University
899,Christian Günther,Hedvig Eleonora församling,Sweden,Uppsala University
900,Ulf Kristersson,Lund,Sweden,Uppsala University
901,Gun Hellsvik,Ängelholm,Sweden,Lund University
902,Torgny Segerstedt,Karlstad,Sweden,Uppsala University
903,Anna-Greta Leijon,Stockholm,Sweden,Uppsala University
904,Karl Lärka,Solleröns församling,Sweden,Royal Institute of Technology
905,Nils Herlitz,Stockholm,Sweden,Uppsala University
906,Åsa Linderborg,Västerås,Sweden,Uppsala University
907,Lars Anton Anjou,Frösthults församling,Sweden,Uppsala University
908,Lars Forssell,Stockholm,Sweden,Uppsala University
909,Lars Gabriel Andersson,Vagnhärad,Sweden,Uppsala University
910,Lars Göran Josefsson,Ulricehamn,Sweden,Chalmers University of Technology
911,Lars Israel Wahlman,Hedemora,Sweden,Royal Institute of Technology
912,Sten Broman,Uppsala,Sweden,Lund University
913,Per Unckel,Finspång,Sweden,Uppsala University
914,Peter Whittle,Wellington,New Zealand,Uppsala University
915,Tomas Lindahl,Stockholm,Sweden,Karolinska Institute
916,Mehemed Malmîsanij,Dicle,Turkey,Linköping University
917,Mehemed Malmîsanij,Dicle,Turkey,Uppsala University
918,Manfred Björkquist,Gideå congregation,Sweden,Uppsala University
919,Bertil Berg,Stockholm,Sweden,Royal Institute of Technology
920,Martin Lind,Malmö,Sweden,Lund University
921,Melker Schörling,Götlunda socken,Sweden,University of Gothenburg
922,Henrik Schück,Klara Parish,Sweden,Uppsala University
923,Tiina Rosenberg,Helsinki,Finland,Stockholm University
924,Per Wästberg,Stockholm,Sweden,Uppsala University
925,Adam Kuhn,Germantown,United States of America,Uppsala University
926,Anders Fryxell,Edsleskogs parish,Sweden,Uppsala University
927,Harald Hjärne,Skövde landsförsamling,Sweden,Uppsala University
928,Hans Järta,Näs kungsgård,Sweden,Uppsala University
929,Anders Wijkman,Stockholm,Sweden,Stockholm University
930,Nils Carl Gustaf Fersen Gyldenstolpe,Östersund,Sweden,Lund University
931,Nils Carl Gustaf Fersen Gyldenstolpe,Östersund,Sweden,Uppsala University
932,Nils Conrad Kindberg,Karlstad,Sweden,Uppsala University
933,Nils Wohlin,Adolf Fredriks parish,Sweden,Uppsala University
934,Claes Annerstedt,Uppsala Cathedral Assembly,Sweden,Uppsala University
935,Peter Lindgren,Stockholm,Sweden,Stockholm University
936,Tomas Riad,Uppsala,Sweden,Stockholm University
937,Gustav Fridolin,Önnestad parish,Sweden,Linköping University
938,Gustav Fridolin,Önnestad parish,Sweden,Stockholm University
939,Theodor Kallifatides,Molaoi,Greece,Stockholm University
940,Willgodt Theophil Odhner,Dalby parish,Sweden,Royal Institute of Technology
941,Otto Martin Torell,Varbergs,Sweden,Lund University
942,Otto Steiger,Dresden,Germany,Uppsala University
943,Willard Fiske,Ellisburg,United States of America,Uppsala University
944,Christian Eric Fahlcrantz,Stora Tuna,Sweden,Uppsala University
945,Sigurbjörn Einarsson,Vestur-Skaftafellssýsla,Iceland,Uppsala University
946,Per Martin-Löf,Jakob,Sweden,Stockholm University
947,Percy Dudgeon Quensel,Marstrands församling,Sweden,Uppsala University
948,Carl Bildt,Klara Parish,Sweden,Uppsala University
949,Clas Tott,Ekolsund Castle,Sweden,Uppsala University
950,Max Tegmark,Sweden,Sweden,Royal Institute of Technology
951,Kerstin Jeppsson,Nyköping,Sweden,Stockholm University
952,Wilhelm Lilljeborg,Helsingborgs Maria parish,Sweden,Lund University
953,Lennart Geijer,Ystad,Sweden,Lund University
954,Ruben Josefson,Svenljunga församling,Sweden,Uppsala University
955,Axel Leijonhufvud,Stockholm,Sweden,Lund University
956,Birger Wedberg,Stockholm,Sweden,Uppsala University
957,Salomon Eberhard Henschen,Uppsala Cathedral Assembly,Sweden,Stockholm University
958,Salomon Eberhard Henschen,Uppsala Cathedral Assembly,Sweden,Uppsala University
959,Per-Ingvar Brånemark,Sweden,Sweden,Lund University
960,José María Sobral,Gualeguaychú,Argentina,Uppsala University
961,Isabelle Attard,Vendôme,France,Umeå University
962,Birger Ekeberg,Uppsala,Sweden,Uppsala University
963,Steno Stenberg,Stockholm,Sweden,Uppsala University
964,Johan Gabriel Stenbock,Stockholm City,Sweden,Uppsala University
965,Einar Stenhagen,Söderala church parish,Sweden,Royal Institute of Technology
966,Einar Stenhagen,Söderala church parish,Sweden,Uppsala University
967,Karl Stenström,Lerbäcks socken,Sweden,Uppsala University
968,Håkan Sterky,Hedvig Eleonora församling,Sweden,Royal Institute of Technology
969,Johan Sterte,Sollentuna Municipality,Sweden,Chalmers University of Technology
970,Nils von Steyern,Landeryds kyrkby,Sweden,Uppsala University
971,Johan Stiernhöök,Rättviks församling,Sweden,Uppsala University
972,August Stjernstedt,Östuna socken,Sweden,Swedish University of Agricultural Sciences
973,Lorentz Kristoffer Stobée,Lunds Cathedral Assembly,Sweden,Lund University
974,Andreas Stobæus,Stoby församling,Sweden,Lund University
975,Bo von Stockenström,Stockholm,Sweden,Uppsala University
976,Marcus Storch,Stockholm,Sweden,Royal Institute of Technology
977,Carl Gustaf Strandberg,Stigtomta församling,Sweden,Uppsala University
978,Wilhelm Stråle af Ekna,Stockholm,Sweden,Uppsala University
979,Carl Mathias Ström,Ljusdal,Sweden,Uppsala University
980,Nikke Ström,Karlskoga,Sweden,Stockholm University
981,Jim Apple,Belleville,United States of America,Uppsala University
982,Mårten Strömer,Örebro Nikolai parish,Sweden,Uppsala University
983,Gunnar Strömmer,Örnsköldsvik,Sweden,Uppsala University
984,Ingemar Ståhl,Stockholm,Sweden,Stockholm University
985,Stellan Sundahl,Helsingborg,Sweden,Lund University
986,Gustaf Sundberg,By parish,Sweden,Uppsala University
987,Halvar Sundberg,Hedvig Eleonora församling,Sweden,Uppsala University
988,Gunnar Sundblad,Sundborns socken,Sweden,Royal Institute of Technology
989,Fredrik Sundbärg,Leksand,Sweden,Royal Institute of Technology
990,Carl Reinhold Sundell,Norrköpings Hedvig Parish,Sweden,Uppsala University
991,Gunnar Sundell,Köping,Sweden,Stockholm University
992,Herman Sundholm,Visby,Sweden,Royal Institute of Technology
993,Nils Sundius,Bankekind,Sweden,Stockholm University
994,Anders Sundström,Hudiksvall,Sweden,Umeå University
995,Adolf Ferdinand Svanberg,Stockholm,Sweden,Uppsala University
996,Gustaf Svanberg,Uppsala Cathedral Assembly,Sweden,Uppsala University
997,Bert-Olof Svanholm,Nordmalings församling,Sweden,Royal Institute of Technology
998,Nils Eberhard Svedelius,Hedvig Eleonora församling,Sweden,Uppsala University
999,Wilhelm Erik Svedelius,Köpings stadsförsamling,Sweden,Uppsala University
1000,Mats Svegfors,Bredestad socken,Sweden,Lund University
1001,Emil Svensén,Tveta församling,Sweden,Uppsala University
1002,Anton von Swab,Falun,Sweden,Uppsala University
1003,Erik Swartling,Kvillinge socken,Sweden,Uppsala University
1004,Herman Swedborg,Vänersborg,Sweden,Uppsala University
1005,Pelle Swedlund,Gävle Heliga Trefaldighets,Sweden,Uppsala University
1006,Erik von Sydow,Vasa parish,Sweden,Stockholm University
1007,Otto Sylwan,Kristianstads garnisonsförsamling,Sweden,Lund University
1008,Gustaf Sällström,Stockholm,Sweden,Royal Institute of Technology
1009,Carl Säve,Roma parish,Sweden,Uppsala University
1010,Pehr Arvid Säve,Roma parish,Sweden,Uppsala University
1011,Carl Nestor Söderberg,Stockholm,Sweden,Royal Institute of Technology
1012,Richard Söderberg,Örnsköldsvik Municipality,Sweden,Chalmers University of Technology
1013,Michael Söderlundh,Solna,Sweden,Uppsala University
1014,Mikael Söderlund,Stockholm,Sweden,Stockholm University
1015,Bo Södersten,Grängesberg,Sweden,Stockholm University
1016,Bo Södersten,Grängesberg,Sweden,Uppsala University
1017,Carl Olof Tamm,Maria Magdalena parish,Sweden,Stockholm University
1018,Carl Olof Tamm,Maria Magdalena parish,Sweden,Lund University
1019,Henric Tamm,Älvkarleö,Sweden,Uppsala University
1020,Nils Tamm,Låssa socken,Sweden,Uppsala University
1021,Arvid Taube,Låssa församling,Sweden,Uppsala University
1022,Esaias Tegnér the Younger,Källstorps socken,Sweden,Lund University
1023,Peter Gustaf Tengmalm,Stockholm,Sweden,Uppsala University
1024,Lars Terenius,Örebro,Sweden,Uppsala University
1025,Fredrik Tersmeden,Tynnered,Sweden,Lund University
1026,Jacob Tersmeden the Younger,Larsbo,Sweden,Uppsala University
1027,Hjalmar Théel,Säter,Sweden,Uppsala University
1028,Olof Thegner,Vists socken,Sweden,Uppsala University
1029,Erik Thelaus,Umeå,Sweden,Royal Institute of Technology
1030,Axel Theorell,Falun,Sweden,Royal Institute of Technology
1031,Edvard Thermænius,Eskilstuna,Sweden,Royal Institute of Technology
1032,Thomas Thieme,Motala,Sweden,Chalmers University of Technology
1033,Arthur Thomson,Mönsterås,Sweden,Lund University
1034,Anders J. Thor,Stockholm,Sweden,Royal Institute of Technology
1035,Stefan Thor,Uppsala,Sweden,Umeå University
1036,Eugen Thorburn,Uddevalla,Sweden,Royal Institute of Technology
1037,Thor Thorén,Norrköping,Sweden,Royal Institute of Technology
1038,Johan Thorsander,Seglora församling,Sweden,Uppsala University
1039,Magnus Thulstrup,Landskrona,Sweden,Uppsala University
1040,Pehr Thyselius,Vintrosa socken,Sweden,Uppsala University
1041,Lars Tingsten,Ingatorp,Sweden,Uppsala University
1042,Karl Tiselius,Stockholm,Sweden,Uppsala University
1043,Henrik Toremark,Arvika,Sweden,Uppsala University
1044,Urban Torhamn,Stockholm,Sweden,Stockholm University
1045,Mikael Tornving,Östersund,Sweden,Uppsala University
1046,Stig Torsslow,Hovförsamlingen,Sweden,Stockholm University
1047,Robert Toth,Olofström,Sweden,Stockholm University
1048,Erik Trana,Gothenburg,Sweden,Royal Institute of Technology
1049,Johan Albert Constantin Löfgren,Stockholm,Sweden,Uppsala University
1050,Curry Treffenberg,Gothenburg,Sweden,Uppsala University
1051,Caspar Trendelenburg,Malmö,Sweden,Lund University
1052,Johan Paulsson,Kristinehamn,Sweden,Uppsala University
1053,Johan Zoëga,Q2163126,Denmark,Uppsala University
1054,Tor Troéng,Umeå,Sweden,Umeå University
1055,Carl Trygger,Uppsala,Sweden,Stockholm University
1056,Albert Tullgren,Stockholm,Sweden,Uppsala University
1057,Sven Tunberg,Öglunda församling,Sweden,Uppsala University
1058,Martin Tunström,Arvika,Sweden,Uppsala University
1059,Bo Turesson,Linköping,Sweden,Royal Institute of Technology
1060,Gunnar Vilhelm Täckholm,Adolf Fredriks parish,Sweden,Stockholm University
1061,Inge-Bert Täljedal,Värnamo församling,Sweden,Umeå University
1062,Inge-Bert Täljedal,Värnamo församling,Sweden,Uppsala University
1063,Paul Åberg,Malmö,Sweden,Royal Institute of Technology
1064,Pererik Åberg,Staffanstorp,Sweden,Uppsala University
1065,Olov Amelin,Umeå,Sweden,Uppsala University
1066,Gerhard Andersson,Norrköping,Sweden,Uppsala University
1067,Gerhard Lindblom,Åby församling,Sweden,Uppsala University
1068,Gero Andreas Miesenböck,Braunau am Inn,Austria,Umeå University
1069,Ivar Anderson,Kalmar,Sweden,Uppsala University
1070,Roland Anderson,Lidköping,Sweden,University of Gothenburg
1071,Glenn Lauritz Andersson,Helsingborg,Sweden,Lund University
1072,Göran Andersson,Malmö,Sweden,Lund University
1073,Aksel Andersson,Halmstad,Sweden,Uppsala University
1074,Georg Andrén,Örgryte landskommun,Sweden,Uppsala University
1075,Hans-Olof Andrén,Gothenburg,Sweden,Chalmers University of Technology
1076,Nils Peter Angelin,Lunds Cathedral Assembly,Sweden,Lund University
1077,Daniel Annerstedt,Femsjö församling,Sweden,Uppsala University
1078,Ludvig Annerstedt,Karlskrona city community,Sweden,Uppsala University
1079,Oscar Arvid Antonsson,Lunds Cathedral Assembly,Sweden,Lund University
1080,Fredrik Appelberg,Norrtälje församling,Sweden,Uppsala University
1081,Rudolf Arborelius,Orsa,Sweden,Royal Institute of Technology
1082,Johan Wolter Arnberg,Norrköping,Sweden,Uppsala University
1083,Hampus Wilhelm Arnell,Härnösands domkyrkoförsamling,Sweden,Uppsala University
1084,Jonas Arnell,Örebro,Sweden,Linköping University
1085,Jonas Arnell,Örebro,Sweden,Stockholm University
1086,Fredrik Arp,Köping,Sweden,Lund University
1087,Gunnar Arpi,Hagfors församling,Sweden,Uppsala University
1088,John Arsenius,Sandhems församling,Sweden,Uppsala University
1089,Stellan Arvidson,Vänersborg,Sweden,Lund University
1090,Gunnar Aschan,Vaxholms församling,Sweden,Uppsala University
1091,John Ask,Lunds Cathedral Assembly,Sweden,Lund University
1092,Axel Asker,Jönköpings Kristina församling,Sweden,Uppsala University
1093,Ferdinand Asker,Jönköpings Kristina församling,Sweden,Uppsala University
1094,Ragnar Askmark,Lund,Sweden,Lund University
1095,Matthias Asp,Norrköping,Sweden,Lund University
1096,Christian Aspelin,Stockholm,Sweden,Swedish University of Agricultural Sciences
1097,Gunnar Aspelin,Simrishamn Municipality,Sweden,Lund University
1098,Gunnar Aspelin,Södra Mellby,Sweden,Lund University
1099,Ericus Aurivillius,Knutby församling,Sweden,Uppsala University
1100,Johan Axehielm,Norrköping,Sweden,Uppsala University
1101,Torbjörn Axelman,Eskilstuna,Sweden,Uppsala University
1102,Axel von Axelsson,Hammarö församling,Sweden,Uppsala University
1103,Gösta Bagge,Högalid Parish,Sweden,Stockholm University
1104,John Bagger,Gothenburg,Sweden,Chalmers University of Technology
1105,Gunnar von Bahr,Göteborgs Kristine församling,Sweden,Uppsala University
1106,Per von Bahr,Vårdinge socken,Sweden,Royal Institute of Technology
1107,Hanif Bali,Kermanshah,Iran,Uppsala University
1108,Anders Bárány,Uppsala,Sweden,Uppsala University
1109,Tamas Bartfai,Budapest,Hungary,Stockholm University
1110,Christian Barthel,Sundvall parish,Sweden,Royal Institute of Technology
1111,Osborne Bartley,Gothenburg,Sweden,University of Gothenburg
1112,Knut Beckeman,Halmstad,Sweden,Chalmers University of Technology
1113,Natanael Beckman,Hassle församling,Sweden,Uppsala University
1114,Kurt Belfrage,Ulricehamns församling,Sweden,Uppsala University
1115,Hans Bendz,Västra Tommarps församling,Sweden,Lund University
1116,Olof Bendz,Västra Tommarps församling,Sweden,Karolinska Institute
1117,Olof Bendz,Västra Tommarps församling,Sweden,Lund University
1118,Ingmar Bengtsson,Stockholm,Sweden,Uppsala University
1119,Lennart Bengtsson,Trollhättan,Sweden,Stockholm University
1120,Lennart Bengtsson,Trollhättan,Sweden,Uppsala University
1121,Axel Bennich,Tjärstads församling,Sweden,Uppsala University
1122,Anders Berch,Söderbärke församling,Sweden,Uppsala University
1123,Carl Reinhold Berch,Stockholm City,Sweden,Uppsala University
1124,Alfred Berg,Hudiksvalls församling,Sweden,Uppsala University
1125,Gustaf Berg,Mönsterås församling,Sweden,Uppsala University
1126,Gösta Berg,Örebro,Sweden,Stockholm University
1127,Gösta Berg,Örebro,Sweden,Uppsala University
1128,Henrik Berg,Skatelövs socken,Sweden,Karolinska Institute
1129,Lars Berg,Strömbacka,Sweden,Uppsala University
1130,Ruben G:son Berg,Nyköpings Alla Helgona,Sweden,Uppsala University
1131,Rudolf Fredrik Berg,Stockholm City,Sweden,Royal Institute of Technology
1132,Tor Berg,Hedvig Eleonora församling,Sweden,Uppsala University
1133,Johan Bergenhielm,Kuddby församling,Sweden,Uppsala University
1134,Gunvald Berger,Halmstad,Sweden,Royal Institute of Technology
1135,Ossian Berger,Nysunds församling,Sweden,Uppsala University
1136,Jan Berggren,Malmö,Sweden,Lund University
1137,Nils-Olof Berggren,Stockholm,Sweden,Uppsala University
1138,Rune Berggren,Fellingsbro socken,Sweden,Uppsala University
1139,Birger Bergh,Luleå,Sweden,Uppsala University
1140,Johan Edvard Bergh,Stockholm City,Sweden,Uppsala University
1141,Robert Berghagen,Östersund,Sweden,Royal Institute of Technology
1142,Bengt Bergius,Hålanda parish,Sweden,Lund University
1143,Olof Bergklint,Västerås,Sweden,Uppsala University
1144,Sten Berglund,Järbo,Sweden,Umeå University
1145,Carl Johan Bergman,Visby,Sweden,Uppsala University
1146,Jacob Bergqvist,Lund,Sweden,Lund University
1147,Thorwald Bergquist,Nävelsjö,Sweden,Lund University
1148,Bengt J:son Bergqvist,Lund,Sweden,Lund University
1149,Carl Henrik Bergstrand,Hällefors parish,Sweden,Uppsala University
1150,Axel Bergström,Lunds Cathedral Assembly,Sweden,Lund University
1151,David Bergström,Brunneby församling,Sweden,Lund University
1152,Hans Bergström,Torsby,Sweden,Karlstad University
1153,K.-G. Bergström,Kalix Municipality,Sweden,Uppsala University
1154,Nils Johan Berlin,Härnösands domkyrkoförsamling,Sweden,Uppsala University
1155,Lars Bern,Sundsvall,Sweden,Chalmers University of Technology
1156,Göte Bernhardsson,Simrishamn,Sweden,Lund University
1157,Otto Beronius,Films församling,Sweden,Uppsala University
1158,Bernhard August Beskow,Munktorps parish,Sweden,Royal Institute of Technology
1159,Gustaf Emanuel Beskow,Storkyrkoförsamlingen,Sweden,Uppsala University
1160,Jacob Beskow,Stockholm,Sweden,Royal Institute of Technology
1161,Christer Betsholtz,Stockholm,Sweden,Uppsala University
1162,Elof Biesèrt,Töcksmarks församling,Sweden,Royal Institute of Technology
1163,Olof Törnflycht,Stockholm,Sweden,Uppsala University
1164,Gunnar Törnqvist,Ljungby,Sweden,Stockholm University
1165,Nils Uddenberg,Lund,Sweden,Lund University
1166,Karl-Lennart Uggla,Hardemo socken,Sweden,Stockholm University
1167,Carl David af Uhr,Ovansjö församling,Sweden,Uppsala University
1168,Jörgen Ullenhag,Arvika,Sweden,Uppsala University
1169,Erik Ulrich,Hedvig Eleonora församling,Sweden,Royal Institute of Technology
1170,Erik Adolf Unge,Främmestad,Sweden,Chalmers University of Technology
1171,Abraham Unger,Söderala church parish,Sweden,Uppsala University
1172,Erik Upmark,Uppsala,Sweden,Royal Institute of Technology
1173,Guido Valentin,Gothenburg,Sweden,Stockholm University
1174,Mats Viberg,Linköping,Sweden,Linköping University
1175,Hans Wachtmeister the elder,Valje,Sweden,Lund University
1176,Hans Wachtmeister the younger,Karlskrona,Sweden,Uppsala University
1177,Hans Hansson Wachtmeister,Tromtö House,Sweden,Uppsala University
1178,Johan Anders Wadman,Drottningskär,Sweden,Lund University
1179,Bernhard Wadström,Uppsala Cathedral Assembly,Sweden,Uppsala University
1180,Jonas Wærn,Billingsfors,Sweden,Uppsala University
1181,Ruben Wagnsson,Örebro,Sweden,Lund University
1182,Martin Wahlbäck,Åmål,Sweden,Uppsala University
1183,Sten Wahlund,Bollnäs,Sweden,Uppsala University
1184,Martin Waldenström,Gävle,Sweden,Uppsala University
1185,August Wall,Sevalla,Sweden,Uppsala University
1186,Sven Wallander,Stockholm,Sweden,Royal Institute of Technology
1187,Anton Wallby,Vallby församling,Sweden,Chalmers University of Technology
1188,Jacob Wallenberg,Viby socken,Sweden,Uppsala University
1189,Marcus Wallenberg,Linköping,Sweden,Uppsala University
1190,Lars Wallenstedt,Uppsala,Sweden,Uppsala University
1191,Ivar Wallerius,Gothenburg,Sweden,Lund University
1192,Curt Wallis,Stockholm,Sweden,Uppsala University
1193,Lars Johan Wallmark,Luleå,Sweden,Uppsala University
1194,Einar Wallquist,Steneby socken,Sweden,Karolinska Institute
1195,Elof Wallquist,Kuddby socken,Sweden,Uppsala University
1196,Martin Wallström,Uddevalla,Sweden,University of Gothenburg
1197,Frans Wilhelm Warfvinge,Leksbergs socken,Sweden,Uppsala University
1198,Zakarias Wattrang,Södertälje,Sweden,Uppsala University
1199,Willie Weberg,Helsingborg,Sweden,Royal Institute of Technology
1200,Johan Otto Wedberg,Stockholm City,Sweden,Uppsala University
1201,Juhana Wegelius (younger),Stockholm,Sweden,Uppsala University
1202,Gunnar Weijman-Hane,Varberg,Sweden,Chalmers University of Technology
1203,Erik Wellander,Nyköping,Sweden,Uppsala University
1204,Mikael Wendt,Johanneberg,Sweden,University of Gothenburg
1205,Melchior Wernstedt,Strängnäs,Sweden,Chalmers University of Technology
1206,Hans Werthén,Ludvika församling,Sweden,Royal Institute of Technology
1207,Hans Gustaf Wessberg,Gothenburg,Sweden,University of Gothenburg
1208,Anders Wesström,Sala,Sweden,Uppsala University
1209,Eric Westberg,Hudiksvall,Sweden,Uppsala University
1210,Torbjörn Westermark,Sollefteå,Sweden,Royal Institute of Technology
1211,Sten Westholm,Stockholm,Sweden,Royal Institute of Technology
1212,Axel Westling,Örebro,Sweden,Stockholm University
1213,Karl Ivan Westman,Linköping,Sweden,Uppsala University
1214,Knut B. Westman,Härnösands domkyrkoförsamling,Sweden,Uppsala University
1215,Hjalmar Westring,Jönköping,Sweden,Uppsala University
1216,Johan Peter Westring,Linköping,Sweden,Uppsala University
1217,Folke P:son Wetter,Jönköping,Sweden,Uppsala University
1218,Karl Gustaf Wetterhoff,Hattula,Finland,Uppsala University
1219,Gunnar Wetterling,Linneryds församling,Sweden,Royal Institute of Technology
1220,Gunnar Wetterling,Linneryds församling,Sweden,Chalmers University of Technology
1221,Otto Georg Wetterstrand,Skövde,Sweden,Uppsala University
1222,Börje Wickberg,Stockholm,Sweden,Royal Institute of Technology
1223,Sven Wicksell,Hedvig Eleonora församling,Sweden,Lund University
1224,Victor Hugo Wickström,Hedemora,Sweden,Uppsala University
1225,Samuel Wide,Stora Tuna Rural Municipality,Sweden,Uppsala University
1226,Gustav Adolf Widell,Hedvig Eleonora församling,Sweden,Stockholm University
1227,Johan Widén,Kumla socken,Sweden,Uppsala University
1228,Henrik Adolf Widmark,Ljusdals socken,Sweden,Uppsala University
1229,Markus Wiechel,Vreta,Sweden,Linköping University
1230,Lasse Wierup,Röstånga,Sweden,Stockholm University
1231,Lasse Wierup,Röstånga,Sweden,Lund University
1232,Alfred Wigelius,Åmåls stadsförsamling,Sweden,Swedish University of Agricultural Sciences
1233,Thorsten Wigelius,Åmåls stadsförsamling,Sweden,Chalmers University of Technology
1234,Viktor Wigert,Norrköping,Sweden,Karolinska Institute
1235,John Wigforss,Karlshamn,Sweden,Lund University
1236,Hjalmar Wijk,Klara Parish,Sweden,Uppsala University
1237,Olof Wijk den yngre,Domkyrkoförsamlingen in Göteborg,Sweden,Uppsala University
1238,Per-Olof H. Wikström,Uppsala,Sweden,Stockholm University
1239,Peter Vikström,Piteå,Sweden,Luleå University of Technology
1240,Henrik Williams,Kalmar,Sweden,Uppsala University
1241,Sven Wilson,Stockholm,Sweden,Uppsala University
1242,Håkan Winberg,Ånge,Sweden,Uppsala University
1243,Gabriel Winge,Uppsala,Sweden,Royal Institute of Technology
1244,Johan Wingård,Bohuslän,Sweden,Uppsala University
1245,Rolf Wolff,Wuppertal,Germany,University of Gothenburg
1246,Christopher Wollter,Vänge,Sweden,University of Gothenburg
1247,Sven Wranér,Kungsholms parish,Sweden,Royal Institute of Technology
1248,Eric Wrangel,Stockholm,Sweden,Uppsala University
1249,Thorild Wulff,Gothenburg,Sweden,Lund University
1250,Niklas Wykman,Kalmar,Sweden,Stockholm University
1251,Olle Wästberg,Stockholm,Sweden,Stockholm University
1252,Frans Oskar Wågman,Linköping,Sweden,Uppsala University
1253,Gustav Ytterborn,Ytterby församling,Sweden,Swedish University of Agricultural Sciences
1254,Jens Zander,Lütjenburg,Germany,Linköping University
1255,Carl Edvard Zedritz,Alingsås,Sweden,Uppsala University
1256,Herman Zetterberg,Gustafsberg,Sweden,Uppsala University
1257,Carl Zetterström,Rödöns församling,Sweden,Uppsala University
1258,Eric Peter Älf,Linköping,Sweden,Uppsala University
1259,Samuel Älf,Kvillinge,Sweden,Uppsala University
1260,Bertil Åberg,Gustav Vasa parish,Sweden,Karolinska Institute
1261,Gusten Åberg,Malmö,Sweden,Royal Institute of Technology
1262,Gusten Åberg,Malmö,Sweden,Lund University
1263,Johan Börjesson,Tanum Municipality,Sweden,Uppsala University
1264,Östen Mäkitalo,Koutojärvi,Sweden,Royal Institute of Technology
1265,John Axel Nannfeldt,Trelleborg,Sweden,Uppsala University
1266,Jan Mårtenson,Uppsala,Sweden,Uppsala University
1267,Sten Grillner,Stockholm,Sweden,University of Gothenburg
1268,Pär Aron Borg,Avesta parish,Sweden,Uppsala University
1269,Niklas Jonsson,Piteå,Sweden,Luleå University of Technology
1270,Frans Reinhold Kjellman,Torsö församling,Sweden,Uppsala University
1271,Sune Lindqvist,Eskilstuna,Sweden,Stockholm University
1272,Sven-Gösta Nilsson,Kristianstad,Sweden,Royal Institute of Technology
1273,Sverker Oredsson,Gothenburg,Sweden,Lund University
1274,Anders Gustaf Dahlbom,Sweden,Sweden,Lund University
1275,Mauricio Rojas,Santiago,Chile,Lund University
1276,Ulf Ekman,Gothenburg,Sweden,Uppsala University
1277,Thomas Hakon Grönwall,Dylta bruk,Sweden,Stockholm University
1278,Thomas Hakon Grönwall,Dylta bruk,Sweden,Uppsala University
1279,Thomas Sandell,Sweden,Sweden,Uppsala University
1280,Thomas Söderberg,Stockholm,Sweden,Uppsala University
1281,Thor Stenbeck,Övraby församling,Sweden,Lund University
1282,Torbjörn Törnqvist,Stockholm,Sweden,Stockholm University
1283,Bo Lundgren,Kristianstad,Sweden,Lund University
1284,Áskell Löve,Reykjavík,Iceland,Lund University
1285,Emil Victor Langlet,Borås,Sweden,Chalmers University of Technology
1286,Oscar Alin,Falu Kristine församling,Sweden,Uppsala University
1287,Johan Graan,Skellefteå parish,Sweden,Uppsala University
1288,Kjell Höglund,Östersund,Sweden,Stockholm University
1289,Jonas Carlsson Dryander,Gothenburg,Sweden,Lund University
1290,Jonas Carlsson Dryander,Gothenburg,Sweden,Uppsala University
1291,Valentin Loienfels,Stralsund,Germany,Uppsala University
1292,Carl Gustaf Malmström,Tysslinge församling,Sweden,Uppsala University
