,alumnusLabel,organisationLabel,placeLabel,countryLabel
0,Krister Bykvist,Jesus College,Oxford,United Kingdom
1,Regina Miftakhova,Kazan Federal University,Kazan,Russia
2,Peter W. Eklund,IT University of Copenhagen,Copenhagen Municipality,Denmark
3,Julian Togelius,IT University of Copenhagen,Copenhagen Municipality,Denmark
4,Clas Linnman,Massachusetts General Hospital,Boston,United States of America
5,Clas Linnman,Massachusetts General Hospital,Massachusetts,United States of America
6,Nalini Vudattu,Massachusetts General Hospital,Boston,United States of America
7,Nalini Vudattu,Massachusetts General Hospital,Massachusetts,United States of America
8,Alexander Nyström,University Medical Center Freiburg,Freiburg im Breisgau,Germany
9,Jan Anderson,Australian National University,Canberra,Australia
10,Hans Bielenstein,Australian National University,Canberra,Australia
11,Göran Malmqvist,Australian National University,Canberra,Australia
12,Rickard du Rietz,Australian National University,Canberra,Australia
13,Göran Malmqvist,Australian National University,Canberra,Australia
14,Jian Wu,"University of California, Davis",Davis,United States of America
15,Lars F. Berglund,"University of California, Davis",Davis,United States of America
16,Pamela Ronald,"University of California, Davis",Davis,United States of America
17,Jorge Andrade,University of Chicago,Chicago,United States of America
18,Humberto Fernández Morán,University of Chicago,Chicago,United States of America
19,Carl-Gustaf Rossby,University of Chicago,Chicago,United States of America
20,Ada Yonath,University of Chicago,Chicago,United States of America
21,Åke W. Sjöberg,University of Chicago,Chicago,United States of America
22,Marco Beretta,University of Bologna,Bologna,Italy
23,Jannis Kallinikos,University of Bologna,Bologna,Italy
24,Brian Harold Mason,Smithsonian Institution,"Washington, D.C.",United States of America
25,Martin Rundkvist,University of Łódź,Łódź,Poland
26,Kaveh Madani,University of Central Florida,Orlando,United States of America
27,Peter Bengtson,Heidelberg University,Heidelberg,Germany
28,Hinrich Bitter-Suermann,Heidelberg University,Heidelberg,Germany
29,Aris Fioretos,Humboldt University of Berlin,Berlin,Germany
30,Ebba Witt-Brattström,Humboldt University of Berlin,Berlin,Germany
31,Eilhard Mitscherlich,Humboldt University of Berlin,Berlin,Germany
32,Heinrich Gustav Magnus,Humboldt University of Berlin,Berlin,Germany
33,J Peter Svensson,Humboldt University of Berlin,Berlin,Germany
34,Emma Hagström Molin,Humboldt University of Berlin,Berlin,Germany
35,Johan Andreas Murray,University of Göttingen,Göttingen,Germany
36,Johann Beckmann,University of Göttingen,Göttingen,Germany
37,August Ludwig von Schlözer,University of Göttingen,Göttingen,Germany
38,Guangzheng Zuo,University of Potsdam,Potsdam,Germany
39,Peter Beyerhaus,University of Tübingen,Tübingen,Germany
40,Kálmán Vánky,University of Tübingen,Tübingen,Germany
41,Aleksander Radler,University of Jena,Jena,Germany
42,Lennart Olsson,University of Jena,Jena,Germany
43,Helena Flam,Leipzig University,Leipzig,Germany
44,Nathan Söderblom,Leipzig University,Leipzig,Germany
45,Oskar Klein,Leiden University,Leiden,Netherlands
46,Stina Syvänen,Leiden University,Leiden,Netherlands
47,Sada Mire,Leiden University,Leiden,Netherlands
48,Daniel Lundin,University of Kiel,Kiel,Germany
49,Elis Strömgren,University of Kiel,Kiel,Germany
50,Fredrik Ljungström,TU Dresden,Dresden,Germany
51,Xia Shen,University of Edinburgh,City of Edinburgh,United Kingdom
52,Sofie Ährlund-Richter,University of Edinburgh,City of Edinburgh,United Kingdom
53,James Kendall,University of Edinburgh,City of Edinburgh,United Kingdom
54,Heinz-Otto Kreiss,California Institute of Technology,Pasadena,United States of America
55,Nina Shulumba,California Institute of Technology,Pasadena,United States of America
56,Olof Ljungström,California Institute of Technology,Pasadena,United States of America
57,Heinz-Otto Kreiss,California Institute of Technology,Pasadena,United States of America
58,Olle Hellman,California Institute of Technology,Pasadena,United States of America
59,Victor Abrahamsson,California Institute of Technology,Pasadena,United States of America
60,Karl Henrik Johansson,California Institute of Technology,Pasadena,United States of America
61,Paul Jozef Crutzen,Johannes Gutenberg University Mainz,Mainz,Germany
62,Lars Johanson,Johannes Gutenberg University Mainz,Mainz,Germany
63,Stellan Arvidson,University of Greifswald,Greifswald,Germany
64,Dilmurat Yusuf,University of Vienna,Vienna,Austria
65,Abdul Karim Bangura,American University,"Washington, D.C.",United States of America
66,Aija Priedīte,University of Münster,Münster,Germany
67,Kamrul Hasan,University of Utah,Salt Lake City,United States of America
68,Sven-Gösta Nilsson,"University of California, Berkeley",Berkeley,United States of America
69,Magnus Egerstedt,"University of California, Berkeley",Berkeley,United States of America
70,Jaan Puhvel,"University of California, Berkeley",Berkeley,United States of America
71,Karl Henrik Johansson,"University of California, Berkeley",Berkeley,United States of America
72,Sven Liljeblad,"University of California, Berkeley",Berkeley,United States of America
73,Otto J. Maenchen-Helfen,"University of California, Berkeley",Berkeley,United States of America
74,Dan H. Yaalon,Hebrew University of Jerusalem,Jerusalem,Israel
75,Erik Ringmar,London School of Economics and Political Science,London,United Kingdom
76,Erik Ringmar,London School of Economics and Political Science,City of Westminster,United Kingdom
77,Jannis Kallinikos,London School of Economics and Political Science,London,United Kingdom
78,Jannis Kallinikos,London School of Economics and Political Science,City of Westminster,United Kingdom
79,Heinz-Otto Kreiss,"University of California, Los Angeles",Los Angeles,United States of America
80,Björn Engquist,"University of California, Los Angeles",Los Angeles,United States of America
81,Fritiof S. Sjöstrand,"University of California, Los Angeles",Los Angeles,United States of America
82,Tamas Bartfai,"University of California, Los Angeles",Los Angeles,United States of America
83,Heinz-Otto Kreiss,"University of California, Los Angeles",Los Angeles,United States of America
84,Axel Leijonhufvud,"University of California, Los Angeles",Los Angeles,United States of America
85,Bengt O. Muthén,"University of California, Los Angeles",Los Angeles,United States of America
86,Marjorie Harness Goodwin,"University of California, Los Angeles",Los Angeles,United States of America
87,Julie Ault,"University of California, Los Angeles",Los Angeles,United States of America
88,Björn Engquist,"University of California, Los Angeles",Los Angeles,United States of America
89,Per Olov Enquist,"University of California, Los Angeles",Los Angeles,United States of America
90,Yang Liu,Sun Yat-sen University,Guangzhou,People's Republic of China
91,Ulf Grahn,The Catholic University of America,"Washington, D.C.",United States of America
92,Claes G. Ryn,The Catholic University of America,"Washington, D.C.",United States of America
93,Ulf Grahn,The Catholic University of America,"Washington, D.C.",United States of America
94,Gustaf Arrhenius,University of California,Oakland,United States of America
95,Otto J. Maenchen-Helfen,University of California,Oakland,United States of America
96,Peter Järver,Laboratory of Molecular Biology,Cambridge,United Kingdom
97,Sara Sandin,Laboratory of Molecular Biology,Cambridge,United Kingdom
98,Sara Sandin,Laboratory of Molecular Biology,Cambridge,United Kingdom
99,Ala Trusina,University of Copenhagen,Copenhagen Municipality,Denmark
100,Wenxin Zhang,University of Copenhagen,Copenhagen Municipality,Denmark
101,Rolf Dahlgren,University of Copenhagen,Copenhagen Municipality,Denmark
102,Erik Hulthén,University of Copenhagen,Copenhagen Municipality,Denmark
103,Joachim Israel,University of Copenhagen,Copenhagen Municipality,Denmark
104,Bertil Ohlin,University of Copenhagen,Copenhagen Municipality,Denmark
105,Thomas William Teasdale,University of Copenhagen,Copenhagen Municipality,Denmark
106,Kazi Ishtiak-Ahmed,University of Copenhagen,Copenhagen Municipality,Denmark
107,Aake Nordlund,University of Copenhagen,Copenhagen Municipality,Denmark
108,Joachim Bingel,University of Copenhagen,Copenhagen Municipality,Denmark
109,Nils Andrén,University of Copenhagen,Copenhagen Municipality,Denmark
110,Elis Strömgren,University of Copenhagen,Copenhagen Municipality,Denmark
111,Camilla Scheele,University of Copenhagen,Copenhagen Municipality,Denmark
112,Bertil Ohlin,University of Copenhagen,Copenhagen Municipality,Denmark
113,Valfrid Palmgren,University of Copenhagen,Copenhagen Municipality,Denmark
114,Johannes Bjerva,University of Copenhagen,Copenhagen Municipality,Denmark
115,Matilda Rehn,University of Copenhagen,Copenhagen Municipality,Denmark
116,Martin Malmsten,University of Copenhagen,Copenhagen Municipality,Denmark
117,Karl Gunnar Persson,University of Copenhagen,Copenhagen Municipality,Denmark
118,Karl Georg Wingstrand,University of Copenhagen,Copenhagen Municipality,Denmark
119,Ib Friis,University of Copenhagen,Copenhagen Municipality,Denmark
120,Peter Ascanius,University of Copenhagen,Copenhagen Municipality,Denmark
121,Morana Vitezic,University of Copenhagen,Copenhagen Municipality,Denmark
122,Wenxin Zhang,University of Copenhagen,Copenhagen Municipality,Denmark
123,Arne Zettersten,University of Copenhagen,Copenhagen Municipality,Denmark
124,Christian Peder Bianco Boeck,University of Copenhagen,Copenhagen Municipality,Denmark
125,Alf Ross,University of Copenhagen,Copenhagen Municipality,Denmark
126,René Wugt Larsen,University of Copenhagen,Copenhagen Municipality,Denmark
127,Andreas T Sørensen,University of Copenhagen,Copenhagen Municipality,Denmark
128,Huiling Mu,University of Copenhagen,Copenhagen Municipality,Denmark
129,Jing Tang,University of Copenhagen,Copenhagen Municipality,Denmark
130,Camilla Scheele,University of Copenhagen,Copenhagen Municipality,Denmark
131,Ernst-Gunnar Samuelsson,University of Copenhagen,Copenhagen Municipality,Denmark
132,Martin Vahl,University of Copenhagen,Copenhagen Municipality,Denmark
133,Birger Hjørland,University of Copenhagen,Copenhagen Municipality,Denmark
134,Rim Turkmani,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
135,Marta Busse-Wicher,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
136,Solveig Felton,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
137,Olof Ohlsson Sax,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
138,Mikael Råsander,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
139,David Drew,Imperial College London,Royal Borough of Kensington and Chelsea,United Kingdom
140,Dzunik Aghajanyan,Ministry of Foreign Affairs,Yerevan,Armenia
141,W Pathmasiri,University of North Carolina at Chapel Hill,Chapel Hill,United States of America
142,Ming-Tian Zhang,University of North Carolina at Chapel Hill,Chapel Hill,United States of America
143,Erik Burman,University College London,London Borough of Camden,United Kingdom
144,Yunguo Li,University College London,London Borough of Camden,United Kingdom
145,Zoltan Nagy,University College London,London Borough of Camden,United Kingdom
146,María Gudjónsdóttir,University of Iceland,Reykjavík,Iceland
147,Sigurdur Erlingsson,University of Iceland,Reykjavík,Iceland
148,Unnur A Valdimarsdottir,University of Iceland,Reykjavík,Iceland
149,Doris Löve,University of Iceland,Reykjavík,Iceland
150,Áskell Löve,University of Iceland,Reykjavík,Iceland
151,Kristjana Einarsdóttir,University of Iceland,Reykjavík,Iceland
152,Sigurbjörn Einarsson,University of Iceland,Reykjavík,Iceland
153,Patric Lindahl,Swedish Radiation Safety Authority,Stockholm,Sweden
154,Patric Lindahl,Swedish Radiation Safety Authority,Katrineholm Municipality,Sweden
155,Camille Bélanger-Champagne,McGill University,Montreal,Canada
156,Jim Mattsson,Simon Fraser University,British Columbia,Canada
157,Andreas Bjerre,University of Tartu,Tartu City,Estonia
158,Elof Holstenius,University of Tartu,Tartu City,Estonia
159,Lili Milani,University of Tartu,Tartu City,Estonia
160,Anders Lindstedt,University of Tartu,Tartu City,Estonia
161,Gustav Carlholm,University of Tartu,Tartu City,Estonia
162,Kalle Kilk,University of Tartu,Tartu City,Estonia
163,Sven Dimborg,University of Tartu,Tartu City,Estonia
164,Andreas Bjerre,University of Tartu,Tartu City,Estonia
165,Olof Hermelin,University of Tartu,Tartu City,Estonia
166,Malcolm Fridlund,Max Planck Institute for Astronomy,Heidelberg,Germany
167,Sennai Mesfun,International Institute for Applied Systems Analysis,Lower Austria,Austria
168,Claes von Hofsten,University of Virginia,Charlottesville,United States of America
169,Claes G. Ryn,University of Virginia,Charlottesville,United States of America
170,Lennart Heimer,University of Virginia,Charlottesville,United States of America
171,Egil Törnqvist,University of Amsterdam,Amsterdam,Netherlands
172,Santiago Castroviejo-Fisher,American Museum of Natural History,Manhattan,United States of America
173,Niklas Elmqvist,Purdue University,West Lafayette,United States of America
174,Pavel Plevka,Purdue University,West Lafayette,United States of America
175,Anastasia Zhuravleva,Purdue University,West Lafayette,United States of America
176,Lars H Zetterberg,Lund University,Lund Municipality,Sweden
177,Börje Wickberg,Lund University,Lund Municipality,Sweden
178,Sten Samuelson,Lund University,Lund Municipality,Sweden
179,Johan Rådberg,Lund University,Lund Municipality,Sweden
180,Ove Pettersson,Lund University,Lund Municipality,Sweden
181,Sten Lundin,Lund University,Lund Municipality,Sweden
182,Bertram Broberg,Lund University,Lund Municipality,Sweden
183,Hans Ahlmann,Lund University,Lund Municipality,Sweden
184,Bo Adamson,Lund University,Lund Municipality,Sweden
185,Eric Rhenman,Lund University,Lund Municipality,Sweden
186,Sven-Gösta Nilsson,Lund University,Lund Municipality,Sweden
187,Guy von Dardel,Lund University,Lund Municipality,Sweden
188,Jan Lexell,Lund University,Lund Municipality,Sweden
189,Svante Norrhem,Lund University,Lund Municipality,Sweden
190,Karl Johan Åström,Lund University,Lund Municipality,Sweden
191,Dilmurat Yusuf,Lund University,Lund Municipality,Sweden
192,Karin Markenroth Bloch,Lund University,Lund Municipality,Sweden
193,Gunnar Öquist,Lund University,Lund Municipality,Sweden
194,Eva Åkesson,Lund University,Lund Municipality,Sweden
195,Svante Ödman,Lund University,Lund Municipality,Sweden
196,Viktor Wigert,Lund University,Lund Municipality,Sweden
197,Sten Levander,Lund University,Lund Municipality,Sweden
198,Gustaf Retzius,Lund University,Lund Municipality,Sweden
199,Pehr Victor Edman,Lund University,Lund Municipality,Sweden
200,Gösta Ehrensvärd,Lund University,Lund Municipality,Sweden
201,Solfrid Söderlind,Lund University,Lund Municipality,Sweden
202,Anna Christensen,Lund University,Lund Municipality,Sweden
203,Birgit Krantz,Lund University,Lund Municipality,Sweden
204,Bertil Törnell,Lund University,Lund Municipality,Sweden
205,Lars Samuelson,Lund University,Lund Municipality,Sweden
206,Ingolf Lindau,Lund University,Lund Municipality,Sweden
207,Tomas Kåberger,Lund University,Lund Municipality,Sweden
208,Marcus Aldén,Lund University,Lund Municipality,Sweden
209,Peter Olsson,Lund University,Lund Municipality,Sweden
210,Christina Öberg,Lund University,Lund Municipality,Sweden
211,Haakan Hedenmalm,Lund University,Lund Municipality,Sweden
212,Conny Såthe,Lund University,Lund Municipality,Sweden
213,Lars-Gunnar Lundh,Lund University,Lund Municipality,Sweden
214,Peter Höglund,Lund University,Lund Municipality,Sweden
215,Carl Borrebaeck,Lund University,Lund Municipality,Sweden
216,Geirid Fiskesjö,Lund University,Lund Municipality,Sweden
217,Anne Jerneck,Lund University,Lund Municipality,Sweden
218,Faris Durmo,Lund University,Lund Municipality,Sweden
219,Estelle Larsson,Lund University,Lund Municipality,Sweden
220,Wenxin Zhang,Lund University,Lund Municipality,Sweden
221,Gustaf Östberg,Lund University,Lund Municipality,Sweden
222,Kell Åström,Lund University,Lund Municipality,Sweden
223,Tiina Rosenberg,Lund University,Lund Municipality,Sweden
224,Wilhelm Agrell,Lund University,Lund Municipality,Sweden
225,Gunilla Jönson,Lund University,Lund Municipality,Sweden
226,Einar Heiberg,Lund University,Lund Municipality,Sweden
227,Bengt Lidforss,Lund University,Lund Municipality,Sweden
228,Abraham Peter Cronholm,Lund University,Lund Municipality,Sweden
229,Mortimer Agardh,Lund University,Lund Municipality,Sweden
230,Carl Martin Edsman,Lund University,Lund Municipality,Sweden
231,Axel Möller,Lund University,Lund Municipality,Sweden
232,Åke Gustafsson,Lund University,Lund Municipality,Sweden
233,Björn Bjerke,Lund University,Lund Municipality,Sweden
234,Einar Naumann,Lund University,Lund Municipality,Sweden
235,Svante Samuel Murbeck,Lund University,Lund Municipality,Sweden
236,Carl Gustaf Thomson,Lund University,Lund Municipality,Sweden
237,Torbjörn Sjöstrand,Lund University,Lund Municipality,Sweden
238,Mauricio Rojas,Lund University,Lund Municipality,Sweden
239,Anders Gustaf Dahlbom,Lund University,Lund Municipality,Sweden
240,Sverker Oredsson,Lund University,Lund Municipality,Sweden
241,Axel Leijonhufvud,Lund University,Lund Municipality,Sweden
242,Otto Martin Torell,Lund University,Lund Municipality,Sweden
243,Martin Lind,Lund University,Lund Municipality,Sweden
244,Gun Hellsvik,Lund University,Lund Municipality,Sweden
245,Göte Turesson,Lund University,Lund Municipality,Sweden
246,Pontus Fahlbeck,Lund University,Lund Municipality,Sweden
247,Kilian Stobæus,Lund University,Lund Municipality,Sweden
248,Albert Victor Bäcklund,Lund University,Lund Municipality,Sweden
249,Erland Samuel Bring,Lund University,Lund Municipality,Sweden
250,Erik Hulthén,Lund University,Lund Municipality,Sweden
251,Henrik Reuterdahl,Lund University,Lund Municipality,Sweden
252,Nils Christoffer Dunér,Lund University,Lund Municipality,Sweden
253,Johan Wilhelm Zetterstedt,Lund University,Lund Municipality,Sweden
254,Elis Essen-Möller,Lund University,Lund Municipality,Sweden
255,Peter Gärdenfors,Lund University,Lund Municipality,Sweden
256,Cecilia Jarlskog,Lund University,Lund Municipality,Sweden
257,Bror Emil Hildebrand,Lund University,Lund Municipality,Sweden
258,Carl Fabian Björling,Lund University,Lund Municipality,Sweden
259,Nils Johan Berlin,Lund University,Lund Municipality,Sweden
260,Birger Bergh,Lund University,Lund Municipality,Sweden
261,Sune Bergström,Lund University,Lund Municipality,Sweden
262,Oskar Klein,Lund University,Lund Municipality,Sweden
263,Joachim Israel,Lund University,Lund Municipality,Sweden
264,Lovisa Nilsson,Lund University,Lund Municipality,Sweden
265,Mina Davoudi,Lund University,Lund Municipality,Sweden
266,Peter Henning,Lund University,Lund Municipality,Sweden
267,Elin Folkesson,Lund University,Lund Municipality,Sweden
268,Sabeen Survery,Lund University,Lund Municipality,Sweden
269,Adam N Nilsson,Lund University,Lund Municipality,Sweden
270,J Dereke,Lund University,Lund Municipality,Sweden
271,N Landberg,Lund University,Lund Municipality,Sweden
272,Daniel Jacobsson,Lund University,Lund Municipality,Sweden
273,Lars Kjellén,Lund University,Lund Municipality,Sweden
274,Gunnar Qvarnström,Lund University,Lund Municipality,Sweden
275,Lars Hederstedt,Lund University,Lund Municipality,Sweden
276,Gunnar Blom,Lund University,Lund Municipality,Sweden
277,Ola Hall,Lund University,Lund Municipality,Sweden
278,Lars Rönnstrand,Lund University,Lund Municipality,Sweden
279,Urban Johanson,Lund University,Lund Municipality,Sweden
280,Per-Olof Berggren,Lund University,Lund Municipality,Sweden
281,Alfred Berg,Lund University,Lund Municipality,Sweden
282,Natanael Beckman,Lund University,Lund Municipality,Sweden
283,Per-Åke Albertsson,Lund University,Lund Municipality,Sweden
284,Gunnar Jarring,Lund University,Lund Municipality,Sweden
285,Carl Henrik Boheman,Lund University,Lund Municipality,Sweden
286,Carl Fredrik Fallén,Lund University,Lund Municipality,Sweden
287,Lars Gårding,Lund University,Lund Municipality,Sweden
288,Axel Moberg,Lund University,Lund Municipality,Sweden
289,Elis Strömgren,Lund University,Lund Municipality,Sweden
290,Gustaf Retzius,Lund University,Lund Municipality,Sweden
291,Wilhelm Agrell,Lund University,Lund Municipality,Sweden
292,Sven Ludvig Lovén,Lund University,Lund Municipality,Sweden
293,Arvid Lindau,Lund University,Lund Municipality,Sweden
294,Anders Wiman,Lund University,Lund Municipality,Sweden
295,Anders Lindstedt,Lund University,Lund Municipality,Sweden
296,Anders Jahan Retzius,Lund University,Lund Municipality,Sweden
297,Christian Wilhelm Blomstrand,Lund University,Lund Municipality,Sweden
298,Carl Wilhelm Oseen,Lund University,Lund Municipality,Sweden
299,Göran Therborn,Lund University,Lund Municipality,Sweden
300,Anders Nygren,Lund University,Lund Municipality,Sweden
301,Carl Jakob Sundevall,Lund University,Lund Municipality,Sweden
302,Esaias Tegnér,Lund University,Lund Municipality,Sweden
303,Carl Adolph Agardh,Lund University,Lund Municipality,Sweden
304,Torsten Hägerstrand,Lund University,Lund Municipality,Sweden
305,Lars Hörmander,Lund University,Lund Municipality,Sweden
306,Gottfrid Billing,Lund University,Lund Municipality,Sweden
307,Martin P. Nilsson,Lund University,Lund Municipality,Sweden
308,K. G. Hammar,Lund University,Lund Municipality,Sweden
309,Johannes Rydberg,Lund University,Lund Municipality,Sweden
310,Östen Undén,Lund University,Lund Municipality,Sweden
311,Arvid Carlsson,Lund University,Lund Municipality,Sweden
312,Örjan Wikander,Lund University,Lund Municipality,Sweden
313,Ove Edfors,Lund University,Lund Municipality,Sweden
314,Hiba Nassar,Lund University,Lund Municipality,Sweden
315,Tommy Andersson,Lund University,Lund Municipality,Sweden
316,Ewa K Andersson,Lund University,Lund Municipality,Sweden
317,Lars Kjellén,Lund University,Lund Municipality,Sweden
318,Lisa Ekstam,Lund University,Lund Municipality,Sweden
319,Frans Gustaf Emanuel Walberg,Lund University,Lund Municipality,Sweden
320,Sven Nilsson,Lund University,Lund Municipality,Sweden
321,Manne Siegbahn,Lund University,Lund Municipality,Sweden
322,Jonas Hafström,Lund University,Lund Municipality,Sweden
323,Elias Magnus Fries,Lund University,Lund Municipality,Sweden
324,Erik Ringmar,Lund University,Lund Municipality,Sweden
325,Canutus Hahn,Lund University,Lund Municipality,Sweden
326,Solfrid Söderlind,Lund University,Lund Municipality,Sweden
327,Anders Rapp,Lund University,Lund Municipality,Sweden
328,Per Beskow,Lund University,Lund Municipality,Sweden
329,Malin Jonell,Lund University,Lund Municipality,Sweden
330,Eric M. Runesson,Lund University,Lund Municipality,Sweden
331,Salam Al-Karadaghi,Lund University,Lund Municipality,Sweden
332,Christofer Edling,Lund University,Lund Municipality,Sweden
333,Stefan Axberg,Lund University,Lund Municipality,Sweden
334,Jianfeng Zhou,Lund University,Lund Municipality,Sweden
335,Jens Klingmann,Lund University,Lund Municipality,Sweden
336,Marita Cohn,Lund University,Lund Municipality,Sweden
337,Georg Lindgren,Lund University,Lund Municipality,Sweden
338,Daniel P Brink,Lund University,Lund Municipality,Sweden
339,D Buchebner,Lund University,Lund Municipality,Sweden
340,Rafael Camacho,Lund University,Lund Municipality,Sweden
341,Anna Fornell,Lund University,Lund Municipality,Sweden
342,Hossein Hashemi,Lund University,Lund Municipality,Sweden
343,Oksana Mont,Lund University,Lund Municipality,Sweden
344,Rasmus W. Green,Lund University,Lund Municipality,Sweden
345,Lars-Erik Wernersson,Lund University,Lund Municipality,Sweden
346,Dan Hammarlund,Lund University,Lund Municipality,Sweden
347,Patrik Vestin,Lund University,Lund Municipality,Sweden
348,Sara Kärrholm,Lund University,Lund Municipality,Sweden
349,O Smirnova,Lund University,Lund Municipality,Sweden
350,Jean-Marc Lassance,Lund University,Lund Municipality,Sweden
351,Nils-Olof Svensson,Lund University,Lund Municipality,Sweden
352,Patrick Frings,Lund University,Lund Municipality,Sweden
353,Stefan Andersson,Lund University,Lund Municipality,Sweden
354,Jonas Helgertz,Lund University,Lund Municipality,Sweden
355,Christian Brueffer,Lund University,Lund Municipality,Sweden
356,Per Möller,Lund University,Lund Municipality,Sweden
357,Zacharias Lillienstrahl,Lund University,Lund Municipality,Sweden
358,Johan Winslow,Lund University,Lund Municipality,Sweden
359,Margareta Sandahl,Lund University,Lund Municipality,Sweden
360,Sven V. Larsson,Lund University,Lund Municipality,Sweden
361,Ulf Swenson,Lund University,Lund Municipality,Sweden
362,Erland Lagerlöf,Lund University,Lund Municipality,Sweden
363,Stig Jägerskiöld,Lund University,Lund Municipality,Sweden
364,Carl Yngve Sahlin,Lund University,Lund Municipality,Sweden
365,Eberhard Rosenblad,Lund University,Lund Municipality,Sweden
366,Erik Rooth,Lund University,Lund Municipality,Sweden
367,Dora Jacobsohn,Lund University,Lund Municipality,Sweden
368,Viveka Hagnell,Lund University,Lund Municipality,Sweden
369,Bertil Hylmo,Lund University,Lund Municipality,Sweden
370,Susanna Roxman,Lund University,Lund Municipality,Sweden
371,Staffan Lindeberg,Lund University,Lund Municipality,Sweden
372,Sven Axel Tullberg,Lund University,Lund Municipality,Sweden
373,Julie Ault,Lund University,Lund Municipality,Sweden
374,Claes Lindskog,Lund University,Lund Municipality,Sweden
375,Sven Windahl,Lund University,Lund Municipality,Sweden
376,Sven Wicksell,Lund University,Lund Municipality,Sweden
377,Claes-Göran Wahlström,Lund University,Lund Municipality,Sweden
378,Gustaf Troedsson,Lund University,Lund Municipality,Sweden
379,Johan Thyrén,Lund University,Lund Municipality,Sweden
380,Arthur Thomson,Lund University,Lund Municipality,Sweden
381,Fredrik Tersmeden,Lund University,Lund Municipality,Sweden
382,Esaias Tegnér the Younger,Lund University,Lund Municipality,Sweden
383,Wlodek Rabinowicz,Lund University,Lund Municipality,Sweden
384,Hugo Odeberg,Lund University,Lund Municipality,Sweden
385,Karl Vilhelm Zetterstéen,Lund University,Lund Municipality,Sweden
386,Carl Martin Edsman,Lund University,Lund Municipality,Sweden
387,Anders Spole,Lund University,Lund Municipality,Sweden
388,Yngve Brilioth,Lund University,Lund Municipality,Sweden
389,Sven Berggren,Lund University,Lund Municipality,Sweden
390,Henrik Schück,Lund University,Lund Municipality,Sweden
391,Torgny Segerstedt,Lund University,Lund Municipality,Sweden
392,Emily Sonestedt,Lund University,Lund Municipality,Sweden
393,Jonas Nordin,Lund University,Lund Municipality,Sweden
394,Nils-Lennart Johannesson,Lund University,Lund Municipality,Sweden
395,Velta Ruke-Dravina,Lund University,Lund Municipality,Sweden
396,Susanna Roxman,Lund University,Lund Municipality,Sweden
397,Nils Zeilon,Lund University,Lund Municipality,Sweden
398,Gunnar Törnqvist,Lund University,Lund Municipality,Sweden
399,Bo Södersten,Lund University,Lund Municipality,Sweden
400,Ingemar Ståhl,Lund University,Lund Municipality,Sweden
401,Hans Ryde,Lund University,Lund Municipality,Sweden
402,Björn Roos,Lund University,Lund Municipality,Sweden
403,Staffan Skerfving,Lund University,Lund Municipality,Sweden
404,Patrik Midlöv,Lund University,Lund Municipality,Sweden
405,Ulf Ellervik,Lund University,Lund Municipality,Sweden
406,Johan Malmström,Lund University,Lund Municipality,Sweden
407,Lars Eklundh,Lund University,Lund Municipality,Sweden
408,Wenxin Zhang,Lund University,Lund Municipality,Sweden
409,Magnus Lund,Lund University,Lund Municipality,Sweden
410,Johan Rebetz,Lund University,Lund Municipality,Sweden
411,Henrik Hartman,Lund University,Lund Municipality,Sweden
412,Lotta Westerhäll,Lund University,Lund Municipality,Sweden
413,Carl M. Elwing,Lund University,Lund Municipality,Sweden
414,Arne Zettersten,Lund University,Lund Municipality,Sweden
415,Sigfrid Bjerninger,Lund University,Lund Municipality,Sweden
416,S.  Winblad,Lund University,Lund Municipality,Sweden
417,Jens Schouenborg,Lund University,Lund Municipality,Sweden
418,Lina M. Olsson,Lund University,Lund Municipality,Sweden
419,Ingrid Hedenfalk,Lund University,Lund Municipality,Sweden
420,Kari Marklund,Lund University,Lund Municipality,Sweden
421,Einar Löfstedt den yngre,Lund University,Lund Municipality,Sweden
422,Andreas Stobæus,Lund University,Lund Municipality,Sweden
423,Johan Stenflo,Lund University,Lund Municipality,Sweden
424,Nils Starfelt,Lund University,Lund Municipality,Sweden
425,Carl-Erik Quensel,Lund University,Lund Municipality,Sweden
426,Wilhelm Schlaug,Lund University,Lund Municipality,Sweden
427,Gerhard Regnéll,Lund University,Lund Municipality,Sweden
428,Gad Rausing,Lund University,Lund Municipality,Sweden
429,Nils Tycho Norlindh,Lund University,Lund Municipality,Sweden
430,Dan-Eric Nilsson,Lund University,Lund Municipality,Sweden
431,Patrick Meurling,Lund University,Lund Municipality,Sweden
432,Anders Melin,Lund University,Lund Municipality,Sweden
433,Robert Malmgren,Lund University,Lund Municipality,Sweden
434,Jan Löfberg,Lund University,Lund Municipality,Sweden
435,Carl H. Lindroth,Lund University,Lund Municipality,Sweden
436,Anders Lindroth,Lund University,Lund Municipality,Sweden
437,Adolf Natanael Lindqvist,Lund University,Lund Municipality,Sweden
438,Johannes Lindblom,Lund University,Lund Municipality,Sweden
439,Lars Liedbeck,Lund University,Lund Municipality,Sweden
440,Bert Lehrberg,Lund University,Lund Municipality,Sweden
441,Aasulv Lande,Lund University,Lund Municipality,Sweden
