,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
2276,Camilla Sundberg,Eda,Sweden,University of Gothenburg
2277,Adolf Grape,Gävle Heliga Trefaldighets,Sweden,Uppsala University
2278,Knut Belfrage,Foss församling,Sweden,Uppsala University
2279,Gösta Finngård,Älvsbacka socken,Sweden,Lund University
2280,Charles Birch-Jensen,Stora Köpinge,Sweden,Royal Institute of Technology
2281,Evert Norlin,Karlskoga församling,Sweden,Stockholm University
2282,Gunnar Laurell,Örebro,Sweden,Royal Institute of Technology
2283,Bengt Liljestrand,Stockholm,Sweden,Uppsala University
2284,Nils Hagnell,Oscar Fredriks församling,Sweden,Stockholm University
2285,Amanda Lind,Uppsala,Sweden,Umeå University
2286,Magnus Wrenninge,Frösö församling,Sweden,Linköping University
2287,Olof of Geijerstam,Alkvetterns herrgård,Sweden,Uppsala University
2288,Nils Hanson,Solberga församling,Sweden,Chalmers University of Technology
2289,Gunilla Hasselgren,Spånga-Kista församling,Sweden,Uppsala University
2290,Leo Kask,Tallinn,Estonia,Uppsala University
2291,Gerdt Stendahl,Gothenburg,Sweden,Royal Institute of Technology
2292,Engebret Soot,Elverum,Norway,Chalmers University of Technology
2293,Lennart Grebelius,Sätila,Sweden,University of Gothenburg
2294,Anders Wennerstedt,Gistads församling,Sweden,Uppsala University
2295,Miķelis Bukšs,Q23641238,Latvia,Stockholm University
2296,Anders Svennerud,Växjö,Sweden,Chalmers University of Technology
2297,Anna Wåhlin,Gothenburg,Sweden,University of Gothenburg
2298,K. K. Talwar,Payal,India,University of Gothenburg
2299,Olof Simon Rydberg,Cedersdals malmgård,Sweden,Uppsala University
2300,Kjell Kallenberg,Nyköping,Sweden,Uppsala University
2301,Gunnar Krogstad,Hovin,Norway,Stockholm University
2302,Oddleiv Eidjord,Høvåg,Norway,Royal Institute of Technology
2303,Carl-Erik Sjöstedt,Eskilstuna församling,Sweden,Uppsala University
2304,Erik Wessel-Fougstedt,Paris,France,Stockholm University
2305,Erik Lenander,Västervik,Sweden,Royal Institute of Technology
2306,Erik Lenander,Västervik,Sweden,Uppsala University
2307,Sara Zahedi,Tehran,Iran,Royal Institute of Technology
2308,Sara Zahedi,Tehran,Iran,Uppsala University
2309,Frida Palmér,Blentarp,Sweden,Lund University
2310,Carl Bjuke,Gävle,Sweden,Royal Institute of Technology
2311,Fritz Bange,Gothenburg,Sweden,Chalmers University of Technology
