,alumnusLabel,birthplaceLabel,birthplacecountryLabel,universityLabel
0,Johan Stensson Rothman,Växjö Parish,Sweden,Uppsala University
1,Eli Heckscher,Stockholm,Sweden,Uppsala University
2,Knut Wicksell,Maria Magdalena parish,Sweden,Uppsala University
3,Erik Acharius,Gävle Heliga Trefaldighets,Sweden,Lund University
4,Erik Acharius,Gävle Heliga Trefaldighets,Sweden,Uppsala University
5,Gunnar Ekelöf,Stockholm,Sweden,Uppsala University
6,Esaias Tegnér,By parish,Sweden,Lund University
7,Gustaf Fröding,Alsters herrgård,Sweden,Uppsala University
8,Jakob Ulvsson,Uppland,Sweden,Uppsala University
9,Johan Wilhelm Dalman,Näsby församling,Sweden,Lund University
10,Albert Lindhagen,Askeby parish,Sweden,Uppsala University
11,Haquin Spegel,Ronneby församling,Sweden,Lund University
12,Lars Gustafsson,Västerås,Sweden,Uppsala University
13,Gunnar Helén,Vingåker,Sweden,Uppsala University
14,Per Teodor Cleve,Stockholm City,Sweden,Uppsala University
15,Håkan Nesser,Kumla,Sweden,Uppsala University
16,Eric Hultén,"Halla socken, Södermanland",Sweden,Stockholm University
17,Eric Hultén,"Halla socken, Södermanland",Sweden,Lund University
18,Erik Gustaf Geijer,Ransäter,Sweden,Uppsala University
19,Olaus Petri,Örebro,Sweden,Uppsala University
20,Claes Adelsköld,Alingsås landsförsamling,Sweden,Chalmers University of Technology
21,Per Alström,Sweden,Sweden,Uppsala University
22,Carl Munters,Vansbro Municipality,Sweden,Royal Institute of Technology
23,Bertil Lundman,Malmö,Sweden,Uppsala University
24,Ingrid Gärde Widemar,Jönköping,Sweden,Stockholm University
25,Anna Troberg,Landskrona,Sweden,Uppsala University
26,Birgitta Ohlsson,Linköping,Sweden,Stockholm University
27,Gustaf Oskar Andersson Malme,Stora Malms församling,Sweden,Uppsala University
28,C. Johan Masreliez,Stockholm,Sweden,Royal Institute of Technology
29,Olof Hermelin,Filipstad,Sweden,Uppsala University
30,Johan Emanuel Wikström,Vänersborg,Sweden,Uppsala University
31,Esbjörn Svensson,Västerås,Sweden,Stockholm University
32,Anders Sparrman,Lena församling,Sweden,Uppsala University
33,Carl Gustav Rehnskiöld,Stralsund,Germany,Lund University
34,Ebba Witt-Brattström,Stockholm,Sweden,Stockholm University
35,Lars Levi Læstadius,Jäkkvik,Sweden,Uppsala University
36,Wilhelm Stenhammar,Stockholm,Sweden,Uppsala University
37,Carl Jakob Sundevall,Ystad Municipality,Sweden,Lund University
38,Viveca Sten,Stockholm,Sweden,Stockholm University
39,Annie Lööf,Maramö,Sweden,Lund University
40,David Enskog,Sunne Municipality,Sweden,Uppsala University
41,Otto Nordenskjöld,Jönköping County,Sweden,Uppsala University
42,Kurt Atterberg,Domkyrkoförsamlingen in Göteborg,Sweden,Royal Institute of Technology
43,Anna Hedh,Uppsala,Sweden,Uppsala University
44,Gunnel Vallquist,Sankt Matteus,Sweden,Uppsala University
45,Katarina Mazetti,Stockholm,Sweden,Lund University
46,Anders Nygren,Haga parish,Sweden,Lund University
47,Hialmar Rendahl,Jönköping,Sweden,Stockholm University
48,Kajsa Kling,Åre,Sweden,Mid Sweden University
49,Frans G. Bengtsson,Tåssjö församling,Sweden,Lund University
50,Per Daniel Amadeus Atterbom,Åsbo församling,Sweden,Uppsala University
51,Maria Wetterstrand,Eskilstuna,Sweden,University of Gothenburg
52,Stig Strömholm,Boden,Sweden,Uppsala University
53,Otto J. Maenchen-Helfen,Vienna,Austria,University of Gothenburg
54,Count Sigvard Bernadotte of Wisborg,Drottningholm Palace,Sweden,Uppsala University
55,Lars Fredrik Nilson,Skönberga församling,Sweden,Uppsala University
56,August Sohlman,Svennevads församling,Sweden,Uppsala University
57,Lennart Koskinen,Helsinki,Finland,Uppsala University
58,Magnus Stenbock,Stockholm City,Sweden,Uppsala University
59,Mikael Håfström,Lund,Sweden,Stockholm University
60,Malin Moström,Örnsköldsvik,Sweden,Umeå University
61,Antje Jackelén,Herdecke,Germany,Lund University
62,Antje Jackelén,Herdecke,Germany,Uppsala University
63,Annika Falkengren,Bangkok,Thailand,Stockholm University
64,Erik Ivar Fredholm,Stockholm,Sweden,Royal Institute of Technology
65,Erik Ivar Fredholm,Klara Parish,Sweden,Royal Institute of Technology
66,Erik Ivar Fredholm,Stockholm,Sweden,Stockholm University
67,Erik Ivar Fredholm,Klara Parish,Sweden,Stockholm University
68,Erik Ivar Fredholm,Stockholm,Sweden,Uppsala University
69,Erik Ivar Fredholm,Klara Parish,Sweden,Uppsala University
70,Rudolf Kjellén,Torsö församling,Sweden,Uppsala University
71,Nicodemus Tessin the Younger,Stockholm,Sweden,Uppsala University
72,Nicodemus Tessin the Younger,Nyköping,Sweden,Uppsala University
73,Carl Alexander Clerck,Stockholm City,Sweden,Uppsala University
74,Göran Therborn,Kalmar,Sweden,Lund University
75,Anna Tibaijuka,Muleba District,Tanzania,Uppsala University
76,Mathias Steuchius,Norrtälje,Sweden,Uppsala University
77,Bengt Anders Euphrasén,Habo,Sweden,Uppsala University
78,Torbjörn Caspersson,Motala,Sweden,Stockholm University
79,Ewa Björling,Ekerö Municipality,Sweden,Karolinska Institute
80,Frida Östberg,Örnsköldsvik,Sweden,Umeå University
81,Nick Bostrom,Helsingborg,Sweden,University of Gothenburg
82,Cecilia Wikström,Svanstein,Sweden,Uppsala University
83,Liisa Jaakonsaari,Oulu,Finland,Stockholm University
84,Lena Hjelm-Wallén,Sala,Sweden,Uppsala University
85,Karl Johan Åström,Östersund,Sweden,Royal Institute of Technology
86,Pernilla Stalfelt,Uppsala,Sweden,Uppsala University
87,Anders Södergren,Söderhamn,Sweden,Mid Sweden University
88,Claes Christian Olrog,Danderyd Municipality,Sweden,Stockholm University
89,Claes Christian Olrog,Danderyd Municipality,Sweden,Uppsala University
90,Anders Gustaf Ekeberg,Hedvig Eleonora församling,Sweden,Uppsala University
91,Carl Gustaf Mosander,Kalmar,Sweden,Karolinska Institute
92,Axel Fredrik Cronstedt,Nykvarn Municipality,Sweden,Uppsala University
93,Claes-Ingvar Lagerkvist,Nässjö,Sweden,Uppsala University
94,Carl Wilhelm Oseen,Lund,Sweden,Lund University
95,Lars Vilks,Helsingborg,Sweden,Lund University
96,Harald Cramér,Hedvig Eleonora församling,Sweden,Stockholm University
97,Ernst Alexanderson,Uppsala Cathedral Assembly,Sweden,Royal Institute of Technology
98,Leif Silbersky,Malmö,Sweden,Lund University
99,Germund Dahlquist,Uppsala,Sweden,Stockholm University
100,Walter Gordon,Apolda,Germany,Stockholm University
101,Carl Wilhelm Scheele,Stralsund,Germany,Uppsala University
102,Heinz Leymann,Wolfenbüttel,Germany,Umeå University
103,Heinz Leymann,Wolfenbüttel,Germany,Stockholm University
104,Johann Gottlieb Georgi,Landkreis Greifenberg i. Pom.,Prussia,Uppsala University
105,Svante August Arrhenius,Balingsta parish,Sweden,Stockholm University
106,Svante August Arrhenius,Balingsta parish,Sweden,Uppsala University
107,Anders Celsius,Uppsala,Sweden,Uppsala University
108,Niklas Zennström,Järfälla Municipality,Sweden,Uppsala University
109,Johan Håstad,Sweden,Sweden,Stockholm University
110,Johan Håstad,Sweden,Sweden,Uppsala University
111,Ivar Jacobson,Ystad,Sweden,Royal Institute of Technology
112,Ivar Jacobson,Ystad,Sweden,Chalmers University of Technology
113,Pär Lagerkvist,Växjö,Sweden,Uppsala University
114,Erwin Leiser,Berlin,Germany,Lund University
115,Hinrich Bitter-Suermann,Berlin,Germany,University of Gothenburg
116,Germain Henri Hess,Geneva,Switzerland,Stockholm University
117,Vilgot Sjöman,Stockholm,Sweden,Stockholm University
118,Gustaf af Wetterstedt,Vaasa,Finland,Uppsala University
119,Stefan Meierhans,Altstätten,Switzerland,Uppsala University
120,Eva Brunne,Malmö,Sweden,Lund University
121,Annemarie Huber-Hotz,Baar,Switzerland,Uppsala University
122,Jonas Hafström,Stockholm,Sweden,Lund University
123,Peter Egardt,Lund,Sweden,Lund University
124,Arno Berg,Gothenburg,Sweden,Royal Institute of Technology
125,Erik Axel Karlfeldt,Folkärna,Sweden,Uppsala University
126,Paul Jozef Crutzen,Amsterdam,Netherlands,Stockholm University
127,André Myhrer,Bergsjö,Sweden,Mid Sweden University
128,Cyrillus Johansson,Gävle,Sweden,Chalmers University of Technology
129,Jöns Jacob Berzelius,Väversunda församling,Sweden,Uppsala University
130,George Papandreou,Saint Paul,United States of America,Stockholm University
131,Alva Myrdal,Uppsala Cathedral Assembly,Sweden,Stockholm University
132,Alva Myrdal,Uppsala Cathedral Assembly,Sweden,Uppsala University
133,Gunnar Myrdal,Skattunge Parish,Sweden,Stockholm University
134,Sven Hedin,Klara Parish,Sweden,Stockholm University
135,Sven Hedin,Klara Parish,Sweden,Uppsala University
136,"Victoria, Crown Princess of Sweden",Karolinska University Hospital,Sweden,Uppsala University
137,Hugo Theorell,Linköping cathedral,Sweden,Karolinska Institute
138,Nathan Söderblom,Trönö,Sweden,Uppsala University
139,Gustaf Dalén,Stenstorp,Sweden,Chalmers University of Technology
140,Johann Christian Daniel von Schreber,Weißensee,Germany,Uppsala University
141,Arvid Wretlind,Avesta,Sweden,Karolinska Institute
142,Bernhard Karlgren,Jönköping,Sweden,Uppsala University
143,Svante Pääbo,Stockholm,Sweden,Uppsala University
144,Manne Siegbahn,Örebro,Sweden,Lund University
145,Ivar Otto Bendixson,Oscars Assembly,Sweden,Royal Institute of Technology
146,Ivar Otto Bendixson,Oscars Assembly,Sweden,Stockholm University
147,Ivar Otto Bendixson,Oscars Assembly,Sweden,Uppsala University
148,Stefan Borsch,Hagfors,Sweden,Örebro University
149,Per Jacobsson,Tanum Municipality,Sweden,Uppsala University
150,Carl Linnaeus the Younger,Falu Kristine församling,Sweden,Uppsala University
151,Vagn Walfrid Ekman,Stockholm,Sweden,Uppsala University
152,Erik Lundberg,Sankt Matteus,Sweden,Stockholm University
153,Bertil Ohlin,Parish of Klippan,Sweden,Stockholm University
154,Bertil Ohlin,Parish of Klippan,Sweden,Lund University
155,Björn Ulvaeus,Gothenburg,Sweden,Lund University
156,Dolph Lundgren,Stockholm,Sweden,Royal Institute of Technology
157,Dolph Lundgren,Spånga,Sweden,Royal Institute of Technology
158,Anders Borg,Stockholm,Sweden,Stockholm University
159,Anders Borg,Skarpnäcks församling,Sweden,Stockholm University
160,Anders Borg,Stockholm,Sweden,Uppsala University
161,Anders Borg,Skarpnäcks församling,Sweden,Uppsala University
162,Sofia Kovalevskaya,Moscow,Russia,Stockholm University
163,Emmanuel Swedenborg,Jakob and Johanne parish,Sweden,Uppsala University
164,Theodor Svedberg,Valbo församling,Sweden,Uppsala University
165,Anders Jonas Ångström,The iron factory Lögdö bruk,Sweden,Uppsala University
166,Allvar Gullstrand,Landskrona Parish,Sweden,Uppsala University
167,Kai Siegbahn,Lund,Sweden,Stockholm University
168,Kai Siegbahn,Lund,Sweden,Uppsala University
169,Sergio Badilla Castillo,Valparaíso,Chile,Stockholm University
170,Jesper Svenbro,Landskrona,Sweden,Lund University
171,Daniel Rickardsson,Hudiksvall,Sweden,Umeå University
172,Zeth Höglund,Örgryte socken,Sweden,University of Gothenburg
173,Torbern Bergman,Låstads församling,Sweden,Uppsala University
174,Charlotte Cederschiöld,Gävle,Sweden,Stockholm University
175,Anna Lindh,Enskede-Årsta parish,Sweden,Uppsala University
176,Bengt Edlén,Gusum,Sweden,Uppsala University
177,"Princess Madeleine, Duchess of Hälsingland and Gästrikland",Drottningholm Palace,Sweden,Stockholm University
178,"Prince Carl Philip, Duke of Värmland",Stockholm Palace,Sweden,Swedish University of Agricultural Sciences
179,Anna Bergendahl,Stockholm,Sweden,Örebro University
180,Joachim Israel,Karlsruhe,Germany,Stockholm University
181,Johann Beckmann,Hoya,Germany,Uppsala University
182,Rupiah Banda,Gwanda,Zimbabwe,Lund University
183,Carl Curman,Sjögestads församling,Sweden,Karolinska Institute
184,Carl Curman,Sjögestads församling,Sweden,Uppsala University
185,Sven-Göran Eriksson,Torsby,Sweden,Örebro University
186,Sven Nilsson,Asmundtorp parish,Sweden,Lund University
187,Camilla Läckberg,Fjällbacka,Sweden,University of Gothenburg
188,Arne Tiselius,Stockholm,Sweden,Uppsala University
189,Charlotte Kalla,Tärendö,Sweden,Mid Sweden University
190,Maria Gripe,Vaxholm,Sweden,Stockholm University
191,Cecilia Malmström,Stockholm,Sweden,University of Gothenburg
192,Anna Haag,Köping,Sweden,Mid Sweden University
193,Rebecka Liljeberg,Södertälje,Sweden,Karolinska Institute
194,Amelia Andersdotter,Enköping,Sweden,Lund University
195,Helena Ekholm,Sollefteå,Sweden,Mid Sweden University
196,Ulf von Euler,Stockholm,Sweden,Karolinska Institute
197,Karin Boye,Gothenburg,Sweden,Uppsala University
198,Karin Boye,Tyska Christinae församling,Sweden,Uppsala University
199,Kerstin Ekman,Finspång Municipality,Sweden,Uppsala University
200,Anders Jahan Retzius,Kristianstads Heliga Trefaldighets församling,Sweden,Lund University
201,Anders Johan von Höpken,Stockholm City,Sweden,Uppsala University
202,Anders Lilliehöök,Riga,Latvia,Uppsala University
203,Anders Lindstedt,Sundborns,Sweden,Lund University
204,Anders Tengbom,Stockholm,Sweden,Royal Institute of Technology
205,Anders Wiman,Hammarlöv,Sweden,Lund University
206,Anders Wejryd,Falköping,Sweden,Uppsala University
207,Andreas Berlin,Nora,Sweden,Uppsala University
208,Andreas Carlgren,Upplands-Bro Municipality,Sweden,Stockholm University
209,Anders Dahl,Varnhem,Sweden,Uppsala University
210,Herman Bernhard Lundborg,Väse parish,Sweden,Karolinska Institute
211,Herman Bernhard Lundborg,Väse parish,Sweden,Lund University
212,Nisse Strinning,Kramfors,Sweden,Royal Institute of Technology
213,Ulrika Knape,Gothenburg,Sweden,Örebro University
214,Iris Johansson,Lidköping,Sweden,Uppsala University
215,Antonia Ax:son Johnson,New York,United States of America,Stockholm University
216,Marie Hermanson,Gothenburg,Sweden,University of Gothenburg
217,Fredrick Federley,Köping,Sweden,Örebro University
218,Klara Lidén,Stockholm,Sweden,Royal Institute of Technology
219,Susanna Alakoski,Vaasa,Finland,Umeå University
220,Yvonne Hirdman,Stockholm,Sweden,Stockholm University
221,Gunnar Hedlund,Helgum,Sweden,Stockholm University
222,Gunnar Hedlund,Helgum,Sweden,Uppsala University
223,Georg Stiernhielm,Vika församling,Sweden,Uppsala University
224,Inger Segelström,Stockholm,Sweden,Stockholm University
225,Bengt Westerlund,Gävle,Sweden,Uppsala University
226,Hanna Rydh,Adolf Fredriks parish,Sweden,Stockholm University
227,Hanna Rydh,Adolf Fredriks parish,Sweden,Uppsala University
228,Jimmie Åkesson,Ivetofta,Sweden,Lund University
229,Maria Borelius,Täby,Sweden,Lund University
230,Ulf Grahn,Solna Municipality,Sweden,Lund University
231,Ulf Grahn,Solna Municipality,Sweden,Uppsala University
232,Bernhard Schmidt,Naissaar,Estonia,Chalmers University of Technology
233,Anna Sjöström,Skellefteå,Sweden,Umeå University
234,Christina Olofson,Kristinehamn,Sweden,University of Gothenburg
235,Peter Artedi,Örnsköldsvik Municipality,Sweden,Uppsala University
236,Karl Oskar Medin,Axberg parish,Sweden,Karolinska Institute
237,Karl Oskar Medin,Axberg parish,Sweden,Uppsala University
238,Per-Olov Löwdin,Uppsala,Sweden,Uppsala University
239,Veronica Smedh,Sundsvall Municipality,Sweden,Mid Sweden University
240,Torsten Carleman,Visseltofta,Sweden,Uppsala University
241,Sven Markelius,Maria Magdalena parish,Sweden,Royal Institute of Technology
242,Pehr Victor Edman,Stockholm,Sweden,Karolinska Institute
243,Marika Domanski-Lyfors,Gothenburg,Sweden,Örebro University
244,Göran Wahlenberg,Kroppa församling,Sweden,Uppsala University
245,Arvid Lindau,Malmö Sankt Petri församling,Sweden,Lund University
246,Lena Ek,Mönsterås,Sweden,Lund University
247,Isak Collijn,Halmstad,Sweden,Uppsala University
248,Lena Sommestad,Börje,Sweden,Uppsala University
249,Ture Nerman,Norrköpings Hedvig Parish,Sweden,Uppsala University
250,Helge Backlund,Tartu,Estonia,Uppsala University
251,Erik Leonard Ekman,Stockholm,Sweden,Lund University
252,August Uno Lamm,Gothenburg,Sweden,Royal Institute of Technology
253,Leni Björklund,Örebro,Sweden,Uppsala University
254,Artur Hazelius,Adolf Fredriks parish,Sweden,Uppsala University
255,Sigurd Lewerentz,Bjärtrå,Sweden,Chalmers University of Technology
256,Johan August Brinell,Bringetofta socken,Sweden,Royal Institute of Technology
257,Johan Wilcke,Wismar,Germany,Uppsala University
258,Johannes Steuchius,Härnösands domkyrkoförsamling,Sweden,Uppsala University
259,Michael Treschow,Helsingborg,Sweden,Lund University
260,Harald Treutiger,Härlanda,Sweden,University of Gothenburg
261,Sven Ivar Seldinger,Mora,Sweden,Karolinska Institute
262,Leif Johansson,Gothenburg,Sweden,Chalmers University of Technology
263,Sven Ludvig Lovén,Maria Magdalena parish,Sweden,Lund University
264,Elias Tillandz,Rogberga socken,Sweden,Uppsala University
265,Carl Piper,Storkyrkoförsamlingen,Sweden,Uppsala University
266,Ann-Sofie Johansson,Ronneby,Sweden,Lund University
267,Ann-Sofie Johansson,Ronneby,Sweden,University of Gothenburg
268,Curt von Stedingk,Swedish Pomerania,Germany,Uppsala University
269,Alfred Gabriel Nathorst,Bergshammars parish,Sweden,Lund University
270,Fredrik Lindström,Örnsköldsvik Municipality,Sweden,Mid Sweden University
271,Gerard De Geer,Stockholm,Sweden,Uppsala University
272,Henrik Sjöberg,Stockholm,Sweden,Lund University
273,Bert Bolin,Nyköping,Sweden,Stockholm University
274,Bert Bolin,Nyköping,Sweden,Uppsala University
275,F. William Engdahl,Minneapolis,United States of America,Stockholm University
276,Mats Odell,Värnamo,Sweden,Stockholm University
277,Aladár Paasonen,Budapest,Hungary,National Defence University
278,Sven Grahn,Stockholm,Sweden,Royal Institute of Technology
279,Lennart von Post,Västerås Lundby församling,Sweden,Uppsala University
280,Leif G. W. Persson,Stockholm,Sweden,Stockholm University
281,Rubén Berríos,Aibonito,United States of America,Stockholm University
282,Hans Rosling,Uppsala,Sweden,Uppsala University
283,Lars E. O. Svensson,Örnsköldsvik,Sweden,Royal Institute of Technology
284,Lars E. O. Svensson,Örnsköldsvik,Sweden,Stockholm University
285,Anton Rolandsson Martin,Paide,Estonia,Uppsala University
286,Gert Wingårdh,Skövde,Sweden,Chalmers University of Technology
287,Arvid Wallman,Gothenburg,Sweden,Chalmers University of Technology
288,Johan Afzelius,Larv parish,Sweden,Uppsala University
289,Magnus Huss,"Torps församling, Härnösand diocese",Sweden,Uppsala University
290,Mats Wahl,Malmö,Sweden,Stockholm University
291,Göran Rosenberg,Södertälje,Sweden,Stockholm University
292,Wilhelm Agrell,Uppsala,Sweden,Stockholm University
293,Wilhelm Agrell,Uppsala,Sweden,Lund University
294,Johan Norberg,Stockholm,Sweden,Stockholm University
295,Paul Hedqvist,Stockholm,Sweden,Royal Institute of Technology
296,Olof Swartz,Norrköpings S:t Johannes församling,Sweden,Uppsala University
297,Carl Olof Rosenius,Nysätra församling,Sweden,Uppsala University
298,Sven Lidman,Karlskrona city community,Sweden,Uppsala University
299,Lars Stigzelius,Stigsjö församling,Sweden,Uppsala University
300,Maria Ågren,Gällivare församling,Sweden,Luleå University of Technology
301,Brita Åkerman,Vårdinge församling,Sweden,Stockholm University
302,Brita Åkerman,Vårdinge församling,Sweden,Uppsala University
303,CajsaStina Åkerström,Stockholm,Sweden,Lund University
304,Eva Åkesson,Ängelholms församling,Sweden,Umeå University
305,Christina Lampe Önnerud,Ludvika,Sweden,Uppsala University
306,Petra Östergren,Kiruna,Sweden,Stockholm University
307,Hugo Hildebrand Hildebrandsson,Stockholm,Sweden,Uppsala University
308,Uldis Ģērmanis,Novaya Ladoga,Russia,Stockholm University
309,Sten Anders Hjalmar Sjögren,Färnebo församling,Sweden,Royal Institute of Technology
310,Jens Nilsson,Västervik,Sweden,Uppsala University
311,Fredrik August Dahlgren,Nordmarks församling,Sweden,Uppsala University
312,Carl Wilhelm Böttiger,Västerås domkyrkoförsamling,Sweden,Uppsala University
313,"Rutger Macklean, 4th Friherre",Hjärtum,Sweden,Lund University
314,"Rutger Macklean, 4th Friherre",Ström House,Sweden,Lund University
315,Karl Johan Warburg,Gothenburg,Sweden,Uppsala University
316,Christofer Rutger Ludvig Manderström,Hovförsamlingen,Sweden,Uppsala University
317,Carl Gustaf Nordin,Storkyrkoförsamlingen,Sweden,Uppsala University
318,Oscar Patric Sturzen-Becker,Maria Magdalena parish,Sweden,Uppsala University
319,Frederic Wilhelm Christian Areschoug,Simrishamn,Sweden,Lund University
320,Clark Olofsson,Trollhättan,Sweden,Stockholm University
321,Canutus Hahn,Uråsa församling,Sweden,Uppsala University
322,Carl-Gunne Fälthammar,Markaryd,Sweden,Royal Institute of Technology
323,Carl-Göran Ekerwald,Östersund,Sweden,Uppsala University
324,Carl-Michael Edenborg,Linköping,Sweden,Stockholm University
325,Carl Agardh Westerlund,Kalmar parish,Sweden,Lund University
326,Carl Daniel Ekman,Kalmar domkyrkoförsamling,Sweden,Royal Institute of Technology
327,Carl Gustaf Löwenhielm,Sweden,Sweden,Uppsala University
328,Carl Leopold Sjöberg,Gävle,Sweden,Karolinska Institute
329,Carl Magnusson,Malmö,Sweden,Chalmers University of Technology
330,Carl P. Herslow,Svedala socken,Sweden,Chalmers University of Technology
331,Carl P. Herslow,Svedala socken,Sweden,Lund University
332,Choman Hardi,Slemani,Iraq,Uppsala University
333,Chris Kirubi,Kenya,Kenya,University of Gothenburg
334,Christian Holm,Värmland County,Sweden,Karlstad University
335,Christian Jacobæus,Stockholm,Sweden,Royal Institute of Technology
336,Claes-Göran Granqvist,Helsingborg,Sweden,Chalmers University of Technology
337,Claes Elfsberg,Stockholm,Sweden,Stockholm University
338,Conny Palm,Sweden,Sweden,Royal Institute of Technology
339,Dan Olofsson,Ekenäs,Finland,Lund University
340,David Davidson,Stockholm Municipality,Sweden,Uppsala University
341,Dionysios Ikkos,Syrrako,Greece,Karolinska Institute
342,Dotun Adebayo,Lagos,Nigeria,Stockholm University
343,Edvard Magnus Rodhe,Lunds Cathedral Assembly,Sweden,Lund University
344,Egil Törnqvist,Uppsala,Sweden,Uppsala University
345,Edvard von Krusenstjerna,Askeryd socken,Sweden,Uppsala University
346,Erik Bengtzboe,Nyköping,Sweden,Royal Institute of Technology
347,Erik Brate,Norbergs församling,Sweden,Uppsala University
348,Erik Forssell,Skellefteå,Sweden,Umeå University
349,Erik Lakomaa,Linköping,Sweden,Stockholm University
350,Erik Ringmar,Luleå,Sweden,Uppsala University
351,Erik Sandewall,Oskarshamn,Sweden,Uppsala University
352,Erik Waller,Önums församling,Sweden,Karolinska Institute
353,Erland Carlsson,Älghult,Sweden,Lund University
354,Katri Lipson,Helsinki,Finland,Uppsala University
355,Felix Mitelman,Wolbrom,Poland,Lund University
356,Ferhad Shakely,Kirkuk,Iraq,Stockholm University
357,Ferhad Shakely,Kirkuk,Iraq,Uppsala University
358,Rudolf Söderberg,Lidköping,Sweden,Stockholm University
359,Rudolf Söderberg,Lidköping,Sweden,Lund University
360,Johan Haartman,Paimio,Finland,Uppsala University
361,Olof Palme,Porvoo,Finland,Uppsala University
362,Frank Spitzer,Vienna,Austria,Royal Institute of Technology
363,Fredrik Sterky,Jakob and Johanne parish,Sweden,Uppsala University
364,Frey Svenson,Vetlanda församling,Sweden,Uppsala University
365,Frithiof Holmgren,Västra Ny församling,Sweden,Uppsala University
366,Fritiof Nilsson Piraten,Vollsjö församling,Sweden,Lund University
367,Fritz Carlson,Vimmerby,Sweden,Uppsala University
368,Georg J:son Karlin,Norra Åkarps församling,Sweden,Lund University
369,Lars-Eric Aaro,Vittangi,Sweden,Luleå University of Technology
370,Hjalmar August Abelin,Linköping cathedral,Sweden,Uppsala University
371,Harald Adelsohn,Hudiksvall,Sweden,Uppsala University
372,Bror Viktor Adler,Fors församling,Sweden,Chalmers University of Technology
373,Roland Adlerberth,Varberg,Sweden,University of Gothenburg
374,Ernst Adlerz,Linköping cathedral,Sweden,Uppsala University
375,Gottfrid Adlerz,Vadstena församling,Sweden,Uppsala University
376,Arvid Afzelius,Bolum socken,Sweden,Uppsala University
377,Carl Agrell,Varberg,Sweden,Chalmers University of Technology
378,Gösta Agrenius,Linköping,Sweden,Royal Institute of Technology
379,Albert Ahlberg,Vollsjö,Sweden,Lund University
380,Arvid Ahlberg,Karlskrona,Sweden,Royal Institute of Technology
381,Martin Erik Ahlman,Lomma församling,Sweden,Lund University
382,Hans Ahlmann,Falun,Sweden,Royal Institute of Technology
383,Adolf Ahlsell,Katarina parish,Sweden,Royal Institute of Technology
384,Albin Ahlstrand,Åseda,Sweden,Lund University
385,George Sangster,The Hague,Netherlands,Stockholm University
386,Herman Ahlström,Malmö,Sweden,Lund University
387,Åke Ahlström,Stockholm,Sweden,Royal Institute of Technology
388,Franz Joakim von Aken,Örebro Nikolai parish,Sweden,Uppsala University
389,Fredrik Akrel,Öja församling,Sweden,Uppsala University
390,Nils Alexanderson,S:t Olofs församling,Sweden,Uppsala University
391,Ivar Alm,Kumla,Sweden,Uppsala University
392,Herman Napoleon Almkvist,Stockholm City,Sweden,Uppsala University
393,Ansgar Almquist,Säby socken,Sweden,Royal Institute of Technology
394,Erik Abraham Almquist,Täby parish,Sweden,Uppsala University
395,Sigfrid Oskar Immanuel Almquist,Stockholm City,Sweden,Uppsala University
396,Kurt Almqvist,Falun,Sweden,Stockholm University
397,Kurt Almqvist,Falun,Sweden,Uppsala University
398,Ludvig Teodor Almqvist,Gränna,Sweden,Uppsala University
399,Osvald Almqvist,Trankils socken,Sweden,Royal Institute of Technology
400,Christian Engström,Stockholm,Sweden,Stockholm University
401,Nina Stemme,Stockholm,Sweden,Stockholm University
402,Birger Bohlin,Lidköping,Sweden,Uppsala University
403,Aris Fioretos,Gothenburg,Sweden,Stockholm University
404,Christofer Fjellner,Västerås,Sweden,Lund University
405,Christofer Fjellner,Västerås,Sweden,Uppsala University
406,Oscar Levertin,Gryts församling,Sweden,Uppsala University
407,Gustaf Aulén,Ljungby församling,Sweden,Uppsala University
408,Gunnar Rudberg,Skaraborg County,Sweden,Uppsala University
409,Sverker Åström,Uppsala,Sweden,Uppsala University
410,Sigurd Agrell,Rämmens församling,Sweden,Uppsala University
411,Arne Beurling,Gothenburg,Sweden,Uppsala University
412,Henric Benzelius,Strängnäs stadsförsamling,Sweden,Uppsala University
413,Alfred Grenander,Skövde,Sweden,Royal Institute of Technology
414,Sigvard Arne Eklund,Kiruna,Sweden,Uppsala University
415,Ivar Kreuger,Kalmar,Sweden,Royal Institute of Technology
416,Roy Andersson,Gothenburg,Sweden,Lund University
417,Emil Jönsson,Sandviken,Sweden,Mid Sweden University
418,Janne Holmén,Jomala,Finland,Uppsala University
419,Elis Strömgren,Helsingborg,Sweden,Lund University
420,Sven Delblanc,Swan River,Canada,Uppsala University
421,Georg F.L. Sarauw,Vordingborg,Denmark,Uppsala University
422,Hans Riesel,Stockholm,Sweden,Stockholm University
423,Pehr Henrik Ling,Södra Ljunga församling,Sweden,Lund University
424,Pehr Henrik Ling,Södra Ljunga församling,Sweden,Uppsala University
425,Carl Westman,Uppsala,Sweden,Royal Institute of Technology
426,Otto Lindblad,Karlstorps församling,Sweden,Lund University
427,Ulf Hannerz,Malmö,Sweden,Stockholm University
428,Rune Elmqvist,Lund,Sweden,Lund University
429,Bertil Hult,Stockholm,Sweden,Lund University
430,Pehr Löfling,Valbo församling,Sweden,Uppsala University
431,Nils Gabriel Sefström,Ilsbo församling,Sweden,Uppsala University
432,Sivar Arnér,Kalmar County,Sweden,Lund University
433,Arvid Ahnfelt,Lunds Cathedral Assembly,Sweden,Uppsala University
434,Arvid August Afzelius,Fjällåkra,Sweden,Uppsala University
